consultant_id,review_date,overall_score,technical_skills,client_management,leadership,communication,innovation,reviewer_level,promotion_recommended,salary_increase_pct
C001,2024-12-15,8.2,8.5,8.0,7.8,8.3,8.1,Partner,Yes,12
C001,2025-06-15,7.9,8.2,7.5,7.6,8.0,7.8,Partner,No,8
C001,2025-12-15,7.4,7.8,7.0,7.2,7.5,7.3,Partner,No,5
C002,2024-12-15,7.8,8.0,7.5,7.6,7.9,8.2,Senior_Manager,Yes,15
C002,2025-06-15,8.1,8.3,7.8,8.0,8.2,8.4,Senior_Manager,Yes,10
C002,2025-12-15,8.3,8.4,8.1,8.2,8.3,8.5,Partner,Yes,12
C003,2024-12-15,9.1,9.2,9.0,9.3,9.1,8.8,Partner,No,8
C003,2025-06-15,8.7,8.9,8.5,8.8,8.6,8.4,Partner,No,6
C003,2025-12-15,8.2,8.4,7.9,8.1,8.0,7.8,Partner,No,4
C004,2024-12-15,8.0,8.1,7.8,7.9,8.2,8.0,Senior_Manager,Yes,11
C004,2025-06-15,8.2,8.3,8.0,8.1,8.3,8.2,Partner,Yes,9
C004,2025-12-15,7.8,8.0,7.5,7.7,7.9,7.8,Partner,No,6
C005,2024-12-15,7.5,7.8,7.2,7.3,7.6,7.7,Manager,Yes,14
C005,2025-06-15,7.8,8.0,7.5,7.6,7.9,8.0,Senior_Manager,Yes,12
C005,2025-12-15,8.0,8.1,7.8,7.9,8.0,8.2,Senior_Manager,Yes,10
C006,2024-12-15,8.5,8.6,8.3,8.4,8.6,8.5,Partner,Yes,10
C006,2025-06-15,8.1,8.3,7.8,8.0,8.2,8.1,Partner,No,7
C006,2025-12-15,7.6,7.8,7.3,7.5,7.7,7.6,Partner,No,5
C007,2024-12-15,9.3,9.4,9.2,9.5,9.3,9.1,Partner,No,6
C007,2025-06-15,8.9,9.1,8.7,9.0,8.8,8.6,Partner,No,5
C007,2025-12-15,8.4,8.6,8.1,8.3,8.2,8.0,Partner,No,3
C008,2024-12-15,7.9,8.0,7.7,7.8,8.1,7.9,Senior_Manager,Yes,11
C008,2025-06-15,8.1,8.2,7.9,8.0,8.2,8.1,Partner,Yes,9
C008,2025-12-15,8.0,8.1,7.8,7.9,8.0,8.0,Partner,No,7
C009,2024-12-15,7.6,7.9,7.3,7.4,7.7,7.8,Manager,Yes,13
C009,2025-06-15,7.9,8.1,7.6,7.7,8.0,8.0,Senior_Manager,Yes,11
C009,2025-12-15,8.1,8.2,7.9,8.0,8.1,8.2,Senior_Manager,Yes,9
C010,2024-12-15,8.3,8.4,8.1,8.2,8.4,8.3,Partner,Yes,9
C010,2025-06-15,8.0,8.2,7.7,7.9,8.1,8.0,Partner,No,7
C010,2025-12-15,7.7,7.9,7.4,7.6,7.8,7.7,Partner,No,5
C011,2024-12-15,9.2,9.3,9.1,9.4,9.2,9.0,Partner,No,7
C011,2025-06-15,8.8,9.0,8.6,8.9,8.7,8.5,Partner,No,5
C011,2025-12-15,8.3,8.5,8.0,8.2,8.1,7.9,Partner,No,4
C012,2024-12-15,7.7,7.8,7.5,7.6,7.8,7.7,Manager,Yes,12
C012,2025-06-15,8.0,8.1,7.8,7.9,8.0,8.0,Senior_Manager,Yes,10
C012,2025-12-15,8.2,8.3,8.0,8.1,8.2,8.2,Senior_Manager,Yes,8
C013,2024-12-15,7.4,7.7,7.1,7.2,7.5,7.6,Manager,Yes,14
C013,2025-06-15,7.7,8.0,7.4,7.5,7.8,7.9,Senior_Manager,Yes,12
C013,2025-12-15,7.9,8.1,7.6,7.7,7.9,8.0,Senior_Manager,Yes,10
C014,2024-12-15,8.4,8.5,8.2,8.3,8.5,8.4,Partner,Yes,9
C014,2025-06-15,8.0,8.2,7.7,7.9,8.1,8.0,Partner,No,7
C014,2025-12-15,7.6,7.8,7.3,7.5,7.7,7.6,Partner,No,5
C015,2024-12-15,9.0,9.1,8.9,9.2,9.0,8.8,Partner,No,7
C015,2025-06-15,8.6,8.8,8.4,8.7,8.5,8.3,Partner,No,5
C015,2025-12-15,8.1,8.3,7.8,8.0,7.9,7.7,Partner,No,4
