Month,Year,ARR,MRR_Growth_Rate,Gross_Churn_Rate,Net_Churn_Rate,Revenue_Churn_Rate,NPS_Score,Customer_Health_Score,Upsell_Rate,Cross_sell_Rate,Logo_Retention,Revenue_Retention
January,2025,10200000,16.47,1.00,0.25,1.76,72,8.2,15.5,8.2,94.2,102.5
February,2025,11040000,14.89,1.21,0.18,1.95,74,8.3,18.2,9.1,93.8,103.2
March,2025,12600000,18.37,0.85,0.32,1.33,76,8.4,19.4,8.7,94.8,104.1
April,2025,14160000,15.43,0.97,0.28,1.36,75,8.3,20.9,9.3,94.1,103.8
May,2025,15480000,13.56,1.30,0.22,1.71,73,8.2,23.1,10.2,93.2,104.5
June,2025,17040000,15.89,1.04,0.35,1.34,77,8.5,24.3,9.8,95.1,105.2
July,2025,18960000,13.39,1.33,0.19,1.58,78,8.6,25.3,10.5,94.6,106.1
August,2025,20640000,10.61,1.41,0.26,1.63,76,8.4,27.0,11.2,93.9,105.8
September,2025,22680000,9.88,1.48,0.31,1.59,79,8.7,28.1,10.8,95.3,106.7
October,2025,24600000,8.47,1.48,0.28,1.56,80,8.8,30.0,11.5,94.9,107.2
November,2025,26160000,6.34,1.59,0.33,1.61,78,8.6,29.6,12.1,94.2,106.9
December,2025,28200000,7.80,1.64,0.25,1.62,81,8.9,31.4,12.8,95.7,108.1
