project_id,engagement_type,client_industry,project_duration_days,budget_usd,actual_cost_usd,team_size,lead_consultant_id,completion_date,client_satisfaction_score,project_complexity,budget_variance_pct,timeline_variance_days,final_deliverable_quality,client_retention
PROJ001,Penetration Testing,Financial Services,45,125000,118000,4,CONS001,2024-03-15,8.2,Medium,-5.6,2,High,Yes
PROJ002,Compliance Audit,Healthcare,60,85000,92000,3,CONS002,2024-02-28,6.8,High,8.2,8,Medium,No
PROJ003,Security Architecture,Technology,90,245000,230000,6,CONS003,2024-04-10,9.1,High,-6.1,-3,High,Yes
PROJ004,Penetration Testing,Manufacturing,30,75000,78000,3,CONS004,2024-01-20,7.5,Low,4.0,5,Medium,Yes
PROJ005,Compliance Audit,Financial Services,75,150000,145000,4,CONS001,2024-03-30,8.9,Medium,-3.3,1,High,Yes
PROJ006,Security Architecture,Healthcare,120,320000,345000,8,CONS005,2024-05-15,6.2,High,7.8,15,Low,No
PROJ007,Penetration Testing,Retail,35,95000,88000,4,CONS006,2024-02-10,8.7,Medium,-7.4,-2,High,Yes
PROJ008,Compliance Audit,Technology,55,110000,125000,3,CONS002,2024-04-25,5.9,Medium,13.6,12,Low,No
PROJ009,Security Architecture,Financial Services,100,280000,265000,7,CONS003,2024-05-30,9.3,High,-5.4,-5,High,Yes
PROJ010,Penetration Testing,Energy,40,105000,98000,3,CONS007,2024-03-08,8.4,Medium,-6.7,1,High,Yes
PROJ011,Compliance Audit,Manufacturing,65,95000,102000,4,CONS008,2024-04-18,7.1,Medium,7.4,7,Medium,Yes
PROJ012,Security Architecture,Technology,85,210000,195000,5,CONS009,2024-02-22,8.8,High,-7.1,-8,High,Yes
PROJ013,Penetration Testing,Healthcare,50,135000,140000,5,CONS001,2024-05-12,7.8,High,3.7,3,Medium,Yes
PROJ014,Compliance Audit,Retail,45,80000,75000,3,CONS010,2024-01-30,8.6,Low,-6.3,-1,High,Yes
PROJ015,Security Architecture,Energy,110,295000,315000,6,CONS005,2024-04-05,6.5,High,6.8,18,Medium,No
PROJ016,Penetration Testing,Financial Services,38,118000,112000,4,CONS006,2024-03-25,8.9,Medium,-5.1,0,High,Yes
PROJ017,Compliance Audit,Technology,58,125000,135000,4,CONS008,2024-05-08,6.4,Medium,8.0,9,Low,No
PROJ018,Security Architecture,Manufacturing,95,225000,208000,5,CONS003,2024-02-15,8.5,Medium,-7.6,-6,High,Yes
PROJ019,Penetration Testing,Retail,42,88000,91000,3,CONS007,2024-04-12,7.9,Low,3.4,4,Medium,Yes
PROJ020,Compliance Audit,Healthcare,70,165000,172000,5,CONS002,2024-01-25,7.2,High,4.2,6,Medium,Yes
PROJ021,Security Architecture,Financial Services,88,265000,248000,6,CONS009,2024-03-18,9.0,High,-6.4,-4,High,Yes
PROJ022,Penetration Testing,Energy,36,92000,89000,3,CONS004,2024-05-20,8.3,Medium,-3.3,2,High,Yes
PROJ023,Compliance Audit,Technology,52,98000,108000,3,CONS010,2024-02-08,6.7,Medium,10.2,8,Low,No
PROJ024,Security Architecture,Retail,92,185000,178000,4,CONS005,2024-04-28,8.1,Medium,-3.8,-2,Medium,Yes
PROJ025,Penetration Testing,Manufacturing,44,102000,105000,4,CONS001,2024-01-15,8.0,Medium,2.9,3,Medium,Yes
PROJ026,Compliance Audit,Financial Services,68,140000,133000,4,CONS008,2024-03-12,8.7,Medium,-5.0,0,High,Yes
