date,unemployment_rate_national,unemployment_rate_northeast,unemployment_rate_southeast,unemployment_rate_midwest,unemployment_rate_west,federal_funds_rate,10yr_treasury_rate,housing_price_index,commercial_real_estate_index,consumer_confidence_index
2024-01-01,3.7,3.2,3.1,3.9,4.2,5.25,4.15,285.4,142.8,102.5
2024-02-01,3.9,3.4,3.3,4.1,4.4,5.25,4.22,287.1,143.2,101.8
2024-03-01,3.8,3.3,3.2,4.0,4.3,5.50,4.35,288.9,143.8,103.2
2024-04-01,3.6,3.1,2.9,3.8,4.1,5.50,4.28,290.2,144.1,104.7
2024-05-01,3.7,3.2,3.0,3.9,4.2,5.50,4.41,291.8,144.5,103.9
2024-06-01,4.0,3.5,3.4,4.2,4.5,5.75,4.58,293.1,144.9,102.3
2024-07-01,4.2,3.7,3.6,4.4,4.7,5.75,4.62,294.5,145.2,101.1
2024-08-01,4.1,3.6,3.5,4.3,4.6,5.75,4.55,295.8,145.6,102.8
2024-09-01,4.3,3.8,3.7,4.5,4.8,6.00,4.69,296.9,145.8,100.9
2024-10-01,4.4,3.9,3.8,4.6,4.9,6.00,4.72,297.8,146.1,99.7
2024-11-01,4.5,4.0,3.9,4.7,5.0,6.00,4.78,298.5,146.3,98.8
2024-12-01,4.6,4.1,4.0,4.8,5.1,6.25,4.85,299.1,146.5,98.2
