team_id,team_name,sprint_number,month,year,story_points_planned,story_points_completed,velocity,sprint_goal_met,bugs_introduced,rework_hours
T001,Frontend Core,1,1,2025,25,23,23,TRUE,2,8
T001,Frontend Core,2,1,2025,24,22,22,FALSE,3,12
T001,Frontend Core,3,2,2025,26,24,24,TRUE,1,4
T001,Frontend Core,4,2,2025,25,21,21,FALSE,4,16
T001,Frontend Core,5,3,2025,23,23,23,TRUE,2,6
T001,Frontend Core,6,3,2025,27,25,25,TRUE,1,3
T001,Frontend Core,7,4,2025,26,24,24,FALSE,3,14
T001,Frontend Core,8,4,2025,25,23,23,TRUE,2,8
T001,Frontend Core,9,5,2025,28,26,26,TRUE,1,5
T001,Frontend Core,10,5,2025,27,25,25,TRUE,2,7
T001,Frontend Core,11,6,2025,29,27,27,TRUE,1,4
T001,Frontend Core,12,6,2025,26,24,24,FALSE,3,11
T002,Backend API,1,1,2025,30,28,28,TRUE,1,6
T002,Backend API,2,1,2025,29,27,27,TRUE,2,9
T002,Backend API,3,2,2025,31,29,29,TRUE,1,5
T002,Backend API,4,2,2025,32,28,28,FALSE,3,15
T002,Backend API,5,3,2025,30,30,30,TRUE,0,2
T002,Backend API,6,3,2025,33,31,31,TRUE,2,8
T002,Backend API,7,4,2025,31,29,29,FALSE,2,12
T002,Backend API,8,4,2025,32,30,30,TRUE,1,6
T002,Backend API,9,5,2025,34,32,32,TRUE,1,4
T002,Backend API,10,5,2025,33,31,31,TRUE,2,7
T002,Backend API,11,6,2025,35,33,33,TRUE,1,5
T002,Backend API,12,6,2025,32,30,30,FALSE,3,13
T003,Mobile Apps,1,1,2025,22,20,20,TRUE,2,10
T003,Mobile Apps,2,1,2025,21,19,19,FALSE,4,18
T003,Mobile Apps,3,2,2025,23,21,21,TRUE,2,8
T003,Mobile Apps,4,2,2025,24,20,20,FALSE,5,22
T003,Mobile Apps,5,3,2025,22,22,22,TRUE,1,4
T003,Mobile Apps,6,3,2025,25,23,23,TRUE,2,9
T003,Mobile Apps,7,4,2025,23,21,21,FALSE,3,14
T003,Mobile Apps,8,4,2025,24,22,22,TRUE,2,11
T003,Mobile Apps,9,5,2025,26,24,24,TRUE,1,6
T003,Mobile Apps,10,5,2025,25,23,23,TRUE,2,8
T003,Mobile Apps,11,6,2025,27,25,25,TRUE,1,5
T003,Mobile Apps,12,6,2025,24,22,22,FALSE,3,15
T004,DevOps Platform,1,1,2025,18,16,16,TRUE,1,7
T004,DevOps Platform,2,1,2025,17,15,15,FALSE,2,12
T004,DevOps Platform,3,2,2025,19,17,17,TRUE,1,5
T004,DevOps Platform,4,2,2025,20,16,16,FALSE,3,16
T004,DevOps Platform,5,3,2025,18,18,18,TRUE,0,3
T004,DevOps Platform,6,3,2025,21,19,19,TRUE,1,6
T004,DevOps Platform,7,4,2025,19,17,17,FALSE,2,11
T004,DevOps Platform,8,4,2025,20,18,18,TRUE,1,7
T004,DevOps Platform,9,5,2025,22,20,20,TRUE,1,4
T004,DevOps Platform,10,5,2025,21,19,19,TRUE,1,6
T004,DevOps Platform,11,6,2025,23,21,21,TRUE,0,3
T004,DevOps Platform,12,6,2025,20,18,18,FALSE,2,10
T005,Data Analytics,1,1,2025,20,18,18,TRUE,1,8
T005,Data Analytics,2,1,2025,19,17,17,FALSE,2,14
T005,Data Analytics,3,2,2025,21,19,19,TRUE,1,6
T005,Data Analytics,4,2,2025,22,18,18,FALSE,3,17
T005,Data Analytics,5,3,2025,20,20,20,TRUE,0,4
T005,Data Analytics,6,3,2025,23,21,21,TRUE,1,7
T005,Data Analytics,7,4,2025,21,19,19,FALSE,2,12
T005,Data Analytics,8,4,2025,22,20,20,TRUE,1,8
T005,Data Analytics,9,5,2025,24,22,22,TRUE,1,5
T005,Data Analytics,10,5,2025,23,21,21,TRUE,1,7
T005,Data Analytics,11,6,2025,25,23,23,TRUE,0,4
T005,Data Analytics,12,6,2025,22,20,20,FALSE,2,11
T006,Security Team,1,1,2025,15,13,13,TRUE,0,5
T006,Security Team,2,1,2025,14,12,12,FALSE,1,9
T006,Security Team,3,2,2025,16,14,14,TRUE,0,4
T006,Security Team,4,2,2025,17,13,13,FALSE,2,13
T006,Security Team,5,3,2025,15,15,15,TRUE,0,2
T006,Security Team,6,3,2025,18,16,16,TRUE,1,6
T006,Security Team,7,4,2025,16,14,14,FALSE,1,8
T006,Security Team,8,4,2025,17,15,15,TRUE,0,5
T006,Security Team,9,5,2025,19,17,17,TRUE,0,3
T006,Security Team,10,5,2025,18,16,16,TRUE,1,6
T006,Security Team,11,6,2025,20,18,18,TRUE,0,3
T006,Security Team,12,6,2025,17,15,15,FALSE,1,8
T007,QA Automation,1,1,2025,16,14,14,TRUE,0,6
T007,QA Automation,2,1,2025,15,13,13,FALSE,1,10
T007,QA Automation,3,2,2025,17,15,15,TRUE,0,5
T007,QA Automation,4,2,2025,18,14,14,FALSE,2,14
T007,QA Automation,5,3,2025,16,16,16,TRUE,0,3
T007,QA Automation,6,3,2025,19,17,17,TRUE,1,7
T007,QA Automation,7,4,2025,17,15,15,FALSE,1,9
T007,QA Automation,8,4,2025,18,16,16,TRUE,0,6
T007,QA Automation,9,5,2025,20,18,18,TRUE,0,4
T007,QA Automation,10,5,2025,19,17,17,TRUE,1,7
T007,QA Automation,11,6,2025,21,19,19,TRUE,0,4
T007,QA Automation,12,6,2025,18,16,16,FALSE,1,9
T008,Integration Team,1,1,2025,24,22,22,TRUE,2,11
T008,Integration Team,2,1,2025,23,21,21,FALSE,3,16
T008,Integration Team,3,2,2025,25,23,23,TRUE,1,7
T008,Integration Team,4,2,2025,26,22,22,FALSE,4,20
T008,Integration Team,5,3,2025,24,24,24,TRUE,1,5
T008,Integration Team,6,3,2025,27,25,25,TRUE,2,9
T008,Integration Team,7,4,2025,25,23,23,FALSE,2,13
T008,Integration Team,8,4,2025,26,24,24,TRUE,1,8
T008,Integration Team,9,5,2025,28,26,26,TRUE,1,6
T008,Integration Team,10,5,2025,27,25,25,TRUE,2,8
T008,Integration Team,11,6,2025,29,27,27,TRUE,1,5
T008,Integration Team,12,6,2025,26,24,24,FALSE,3,14
