team_id,team_size,avg_tenure_years,senior_count,mid_count,junior_count,avg_age,gender_diversity_score,skill_diversity_score,remote_workers_pct,cross_functional_members
T001,8,2.3,3,3,2,29.2,0.75,8.5,50,2
T002,12,1.8,2,4,6,26.8,0.42,6.2,75,1
T003,6,3.1,4,2,0,31.5,0.83,9.2,33,3
T004,10,2.7,3,5,2,28.9,0.60,7.8,60,2
T005,7,2.5,3,3,1,29.8,0.71,8.1,43,2
T006,14,1.5,1,5,8,25.4,0.36,5.9,86,0
T007,9,2.0,2,4,3,27.6,0.67,7.4,56,2
T008,8,2.8,4,3,1,30.2,0.75,7.9,38,2
T009,7,3.2,4,2,1,32.1,0.57,8.3,29,1
T010,5,2.4,3,2,0,30.8,0.80,8.7,20,2
T011,11,1.7,1,4,6,26.2,0.55,6.5,73,1
T012,6,2.9,4,2,0,31.2,0.67,8.9,17,2
T013,13,2.2,2,6,5,27.8,0.62,7.1,69,1
T014,8,2.6,3,4,1,29.5,0.75,8.4,50,3
T015,10,1.9,2,3,5,26.9,0.50,6.8,70,1
