consultant_id,month,year,practice_area,scheduled_hours,actual_hours,billable_hours,utilization_rate,efficiency_ratio,client_satisfaction
C001,9,2024,Tax,160,158,145,0.91,0.92,4.2
C001,10,2024,Tax,168,165,152,0.92,0.90,4.5
C002,9,2024,Audit,176,180,168,0.93,0.95,4.7
C002,10,2024,Audit,172,175,163,0.93,0.95,4.6
C003,9,2024,Advisory,152,155,148,0.95,0.97,4.8
C003,10,2024,Advisory,148,150,142,0.95,0.96,4.7
C004,9,2024,Tax,184,182,170,0.93,0.92,4.3
C004,10,2024,Tax,176,178,165,0.93,0.94,4.4
C005,9,2024,Audit,168,170,158,0.93,0.94,4.5
C005,10,2024,Audit,164,162,150,0.92,0.91,4.4
C006,9,2024,Advisory,144,148,140,0.94,0.97,4.9
C006,10,2024,Advisory,140,142,135,0.95,0.96,4.8
C007,9,2024,Tax,180,178,168,0.93,0.93,4.2
C007,10,2024,Tax,184,186,175,0.95,0.95,4.3
C008,9,2024,Audit,172,175,165,0.94,0.96,4.6
C008,10,2024,Audit,168,170,160,0.94,0.95,4.7
C009,9,2024,Advisory,156,158,150,0.95,0.96,4.6
C009,10,2024,Advisory,152,155,147,0.95,0.97,4.8
C010,9,2024,Tax,188,185,175,0.93,0.93,4.0
C010,10,2024,Tax,184,187,180,0.96,0.98,4.2
C011,9,2024,Tax,176,172,160,0.91,0.91,4.1
C011,10,2024,Tax,180,178,168,0.93,0.93,4.3
C012,9,2024,Audit,164,168,160,0.95,0.98,4.8
C012,10,2024,Audit,168,170,162,0.95,0.96,4.7
C013,9,2024,Advisory,148,150,145,0.97,0.98,4.9
C013,10,2024,Advisory,144,146,142,0.97,0.99,4.9
C014,9,2024,Tax,192,188,175,0.93,0.91,3.9
C014,10,2024,Tax,188,190,182,0.96,0.97,4.1
C015,9,2024,Audit,172,175,168,0.96,0.98,4.8
C015,10,2024,Audit,168,170,165,0.97,0.98,4.9
