loan_id,borrower_id,loan_amount,loan_type,approval_date,maturity_date,interest_rate,monthly_payment,current_status,default_date,months_to_default,total_loss
L001,B001,250000,mortgage,2024-12-01,2054-12-01,6.5,1580.17,current,,0,0
L002,B002,45000,auto,2024-12-02,2029-12-02,7.2,891.45,current,,0,0
L003,B003,15000,personal,2024-12-03,2027-12-03,12.5,512.89,defaulted,2025-03-15,3,12450
L004,B004,180000,mortgage,2024-12-04,2054-12-04,6.8,1198.56,current,,0,0
L005,B005,25000,auto,2024-12-05,2029-12-05,8.1,509.84,current,,0,0
L006,B006,8000,personal,2024-12-06,2026-12-06,15.2,412.67,defaulted,2025-06-22,6,6340
L007,B007,320000,mortgage,2024-12-07,2054-12-07,6.2,1943.82,current,,0,0
L008,B008,35000,auto,2024-12-08,2027-12-08,7.8,1134.23,current,,0,0
L009,B009,12000,personal,2024-12-09,2026-12-09,13.9,623.45,current,,0,0
L010,B010,275000,mortgage,2024-12-10,2054-12-10,6.9,1812.34,current,,0,0
L011,B011,22000,auto,2024-12-11,2028-12-11,8.5,456.78,defaulted,2025-04-20,4,18700
L012,B012,20000,personal,2024-12-12,2027-12-12,11.8,678.90,current,,0,0
L013,B013,195000,mortgage,2024-12-13,2054-12-13,7.1,1312.45,current,,0,0
L014,B014,48000,auto,2024-12-14,2029-12-14,7.5,952.34,current,,0,0
L015,B015,10000,personal,2024-12-15,2025-12-15,16.9,934.56,defaulted,2025-02-28,2,9100
L016,B016,385000,mortgage,2024-12-16,2054-12-16,6.4,2398.67,current,,0,0
L017,B017,28000,auto,2024-12-17,2028-12-17,8.2,589.23,current,,0,0
L018,B018,18000,personal,2024-12-18,2027-12-18,12.1,612.78,current,,0,0
L019,B019,165000,mortgage,2024-12-19,2054-12-19,7.3,1145.89,current,,0,0
L020,B020,52000,auto,2024-12-20,2029-12-20,7.9,1034.56,defaulted,2025-08-10,8,44200
L021,B021,7500,personal,2024-12-21,2026-12-21,14.5,387.45,current,,0,0
L022,B022,290000,mortgage,2024-12-22,2054-12-22,6.6,1867.23,current,,0,0
L023,B023,31000,auto,2024-12-23,2028-12-23,8.0,651.89,current,,0,0
L024,B024,16000,personal,2024-12-24,2027-12-24,13.2,545.67,defaulted,2025-07-15,7,9800
L025,B025,420000,mortgage,2024-12-25,2054-12-25,6.1,2542.34,current,,0,0
L026,B026,38000,auto,2024-12-26,2029-12-26,7.7,756.12,current,,0,0
L027,B027,13500,personal,2024-12-27,2026-12-27,15.8,698.45,current,,0,0
L028,B028,210000,mortgage,2024-12-28,2054-12-28,7.0,1398.43,current,,0,0
L029,B029,26000,auto,2024-12-29,2028-12-29,8.3,546.78,current,,0,0
L030,B030,22000,personal,2024-12-30,2027-12-30,11.5,723.89,defaulted,2025-05-12,5,17600
