facility,week_starting,shift,skill_level,available_workers,hourly_rate,overtime_multiplier,max_overtime_hours_per_week
Facility_A,2024-11-11,Morning,1,12,18.50,1.5,20
Facility_A,2024-11-11,Morning,2,8,22.00,1.5,16
Facility_A,2024-11-11,Morning,3,4,26.50,1.5,12
Facility_A,2024-11-11,Afternoon,1,10,18.50,1.5,20
Facility_A,2024-11-11,Afternoon,2,6,22.00,1.5,16
Facility_A,2024-11-11,Afternoon,3,3,26.50,1.5,12
Facility_A,2024-11-11,Night,1,6,20.00,1.5,15
Facility_A,2024-11-11,Night,2,4,24.00,1.5,12
Facility_B,2024-11-11,Morning,1,14,19.00,1.5,20
Facility_B,2024-11-11,Morning,2,10,23.00,1.5,16
Facility_B,2024-11-11,Morning,3,5,27.00,1.5,12
Facility_B,2024-11-11,Afternoon,1,12,19.00,1.5,20
Facility_B,2024-11-11,Afternoon,2,7,23.00,1.5,16
Facility_B,2024-11-11,Afternoon,3,4,27.00,1.5,12
Facility_B,2024-11-11,Night,1,8,21.00,1.5,15
Facility_B,2024-11-11,Night,2,5,25.00,1.5,12
Facility_C,2024-11-11,Morning,1,10,18.00,1.5,20
Facility_C,2024-11-11,Morning,2,6,21.50,1.5,16
Facility_C,2024-11-11,Morning,3,3,25.50,1.5,12
Facility_C,2024-11-11,Afternoon,1,8,18.00,1.5,20
Facility_C,2024-11-11,Afternoon,2,5,21.50,1.5,16
Facility_C,2024-11-11,Afternoon,3,2,25.50,1.5,12
Facility_C,2024-11-11,Night,1,4,20.00,1.5,15
Facility_C,2024-11-11,Night,2,3,24.00,1.5,12
