engagement_id,client_id,client_name,industry,project_type,start_date,end_date,team_size,duration_months,revenue,total_costs,partner_assigned,year
ENG001,CLI001,TechFlow Solutions,Technology,Digital Transformation,2024-01-15,2024-07-15,8,6,450000,380000,Sarah Chen,2024
ENG002,CLI002,MediCorp Healthcare,Healthcare,Process Optimization,2024-02-01,2024-05-01,5,3,280000,195000,Michael Rodriguez,2024
ENG003,CLI003,RetailMax Inc,Retail,Strategic Planning,2024-01-10,2024-04-10,6,3,320000,210000,David Thompson,2024
ENG004,CLI004,GreenEnergy Partners,Energy,Organizational Restructure,2024-03-01,2024-09-01,12,6,680000,720000,Sarah Chen,2024
ENG005,CLI005,FinanceFirst Bank,Financial Services,Risk Management,2024-02-15,2024-08-15,10,6,520000,390000,Jennifer Walsh,2024
ENG006,CLI006,ManufacturingPro Ltd,Manufacturing,Lean Operations,2024-04-01,2024-07-01,7,3,380000,285000,Michael Rodriguez,2024
ENG007,CLI007,ConsumerBrand Co,Consumer Goods,Market Entry Strategy,2024-01-20,2024-06-20,9,5,425000,340000,David Thompson,2024
ENG008,CLI008,LogisticsMaster,Transportation,Supply Chain Optimization,2024-03-15,2024-08-15,11,5,590000,472000,Robert Kim,2024
ENG009,CLI009,TechStartup Alpha,Technology,Growth Strategy,2024-05-01,2024-08-01,4,3,180000,160000,Sarah Chen,2024
ENG010,CLI010,GlobalManufacturing,Manufacturing,Digital Transformation,2024-04-15,2024-10-15,15,6,750000,600000,Jennifer Walsh,2024
ENG011,CLI011,HealthSystem Plus,Healthcare,Cost Reduction,2024-06-01,2024-09-01,8,3,350000,280000,Michael Rodriguez,2024
ENG012,CLI012,RetailChain Express,Retail,Operations Improvement,2024-05-15,2024-08-15,6,3,290000,232000,David Thompson,2024
ENG013,CLI001,TechFlow Solutions,Technology,Cloud Migration,2023-03-01,2023-08-01,10,5,480000,360000,Sarah Chen,2023
ENG014,CLI013,EnergyGrid Corp,Energy,Strategic Planning,2023-01-15,2023-07-15,9,6,560000,448000,Robert Kim,2023
ENG015,CLI005,FinanceFirst Bank,Financial Services,Digital Banking,2023-04-01,2023-10-01,14,6,720000,576000,Jennifer Walsh,2023
ENG016,CLI014,PharmaInnovate,Healthcare,R&D Optimization,2023-02-01,2023-11-01,12,9,890000,623000,Michael Rodriguez,2023
ENG017,CLI015,AutoMaker Global,Manufacturing,Supply Chain,2023-05-01,2023-11-01,13,6,680000,544000,David Thompson,2023
