delivery_id,date,driver_id,route_id,hub,pickup_time,scheduled_delivery,actual_delivery,delivery_status,distance_km,fuel_consumed_liters,vehicle_id,customer_id,delivery_zone,traffic_level,weather_conditions,package_count,package_weight_kg
DEL001,2025-10-15,DRV101,RT001,Hub_North,08:30,10:15,10:45,Late,45.2,8.5,VH001,CUST001,Zone_A,Medium,Clear,3,12.5
DEL002,2025-10-15,DRV102,RT002,Hub_Central,09:00,11:30,11:20,On_Time,32.1,6.2,VH002,CUST002,Zone_B,Low,Rainy,2,8.3
DEL003,2025-10-15,DRV103,RT003,Hub_South,07:45,09:30,09:25,On_Time,28.7,5.4,VH003,CUST003,Zone_C,High,Clear,1,15.2
DEL004,2025-10-15,DRV101,RT001,Hub_North,11:00,13:15,14:00,Late,52.3,9.8,VH001,CUST004,Zone_A,High,Clear,4,22.1
DEL005,2025-10-15,DRV104,RT004,Hub_Central,08:15,10:00,09:55,On_Time,25.6,4.9,VH004,CUST005,Zone_D,Medium,Foggy,2,6.7
DEL006,2025-10-16,DRV105,RT005,Hub_North,08:45,11:00,10:50,On_Time,38.9,7.2,VH005,CUST006,Zone_B,Low,Clear,3,18.4
DEL007,2025-10-16,DRV102,RT002,Hub_Central,09:30,12:15,12:45,Late,41.7,8.1,VH002,CUST007,Zone_C,Medium,Sunny,5,28.9
DEL008,2025-10-16,DRV106,RT006,Hub_South,07:30,09:45,09:40,On_Time,33.2,6.3,VH006,CUST008,Zone_A,Low,Clear,2,11.6
DEL009,2025-10-16,DRV103,RT003,Hub_South,10:15,12:30,13:15,Late,47.8,9.1,VH003,CUST009,Zone_D,High,Rainy,3,19.7
DEL010,2025-10-16,DRV107,RT007,Hub_Central,08:00,10:45,10:30,On_Time,29.4,5.6,VH007,CUST010,Zone_B,Medium,Clear,1,7.8
DEL011,2025-10-17,DRV101,RT001,Hub_North,09:15,11:30,11:25,On_Time,43.6,8.2,VH001,CUST011,Zone_C,Low,Sunny,4,16.3
DEL012,2025-10-17,DRV108,RT008,Hub_South,08:30,10:15,11:00,Late,36.8,7.4,VH008,CUST012,Zone_A,High,Clear,2,13.2
DEL013,2025-10-17,DRV104,RT004,Hub_Central,07:45,09:30,09:20,On_Time,27.3,5.1,VH004,CUST013,Zone_D,Medium,Cloudy,3,20.5
DEL014,2025-10-17,DRV105,RT005,Hub_North,10:00,12:45,12:30,On_Time,44.9,8.7,VH005,CUST014,Zone_B,Low,Clear,1,9.4
DEL015,2025-10-17,DRV109,RT009,Hub_Central,08:45,11:15,11:50,Late,39.2,7.8,VH009,CUST015,Zone_C,High,Rainy,4,25.1
DEL016,2025-10-18,DRV102,RT002,Hub_Central,09:00,11:00,10:45,On_Time,31.5,6.0,VH002,CUST016,Zone_A,Medium,Clear,2,14.7
DEL017,2025-10-18,DRV106,RT006,Hub_South,07:30,10:15,10:55,Late,48.1,9.3,VH006,CUST017,Zone_D,High,Foggy,5,31.6
DEL018,2025-10-18,DRV110,RT010,Hub_North,08:15,10:30,10:25,On_Time,26.9,5.2,VH010,CUST018,Zone_B,Low,Sunny,1,8.9
DEL019,2025-10-18,DRV103,RT003,Hub_South,09:30,12:00,12:35,Late,42.4,8.4,VH003,CUST019,Zone_C,Medium,Clear,3,17.8
DEL020,2025-10-18,DRV107,RT007,Hub_Central,08:00,10:45,10:30,On_Time,30.7,5.9,VH007,CUST020,Zone_A,Low,Clear,2,12.3
DEL021,2025-10-19,DRV111,RT011,Hub_North,08:45,11:15,11:00,On_Time,35.8,6.8,VH011,CUST021,Zone_D,Medium,Cloudy,3,19.2
DEL022,2025-10-19,DRV101,RT001,Hub_North,09:15,12:30,13:15,Late,49.7,9.5,VH001,CUST022,Zone_B,High,Rainy,4,26.4
DEL023,2025-10-19,DRV108,RT008,Hub_South,07:45,09:30,09:20,On_Time,28.3,5.4,VH008,CUST023,Zone_C,Low,Clear,1,10.1
DEL024,2025-10-19,DRV112,RT012,Hub_Central,10:00,13:15,13:00,On_Time,46.2,8.9,VH012,CUST024,Zone_A,Medium,Sunny,5,23.7
DEL025,2025-10-19,DRV104,RT004,Hub_Central,08:30,11:00,11:40,Late,37.6,7.1,VH004,CUST025,Zone_D,High,Clear,2,15.8
