project_id,project_name,client_id,start_date,end_date,status,priority,contract_penalty_per_day,estimated_hours,completed_hours,dependencies
PRJ001,E-commerce Platform Redesign,CLI001,2026-03-15,2026-05-10,In Progress,High,2500,480,320,
PRJ002,Mobile Banking App,CLI002,2026-03-01,2026-06-15,In Progress,Critical,5000,720,180,
PRJ003,Inventory Management System,CLI003,2026-04-01,2026-07-30,Planning,Medium,1200,600,0,PRJ001
PRJ004,Customer Portal Enhancement,CLI004,2026-02-15,2026-04-25,In Progress,High,1800,320,240,
PRJ005,Data Analytics Dashboard,CLI005,2026-04-10,2026-06-20,Planning,Medium,1000,400,0,
PRJ006,CRM Integration,CLI006,2026-03-20,2026-05-15,In Progress,High,2200,360,180,
PRJ007,Security Audit Platform,CLI007,2026-04-05,2026-07-15,In Progress,Critical,4000,540,135,
PRJ008,Marketing Automation Tool,CLI008,2026-03-10,2026-05-30,In Progress,Medium,1500,450,270,
PRJ009,Supply Chain Tracker,CLI009,2026-04-15,2026-08-10,Planning,Low,800,520,0,PRJ003
PRJ010,HR Management System,CLI010,2026-02-20,2026-05-05,In Progress,High,2800,380,304,
PRJ011,Document Management Portal,CLI011,2026-04-20,2026-07-05,Planning,Medium,1300,420,0,
PRJ012,Real Estate Platform,CLI012,2026-03-25,2026-06-30,In Progress,High,2000,580,290,
PRJ013,Healthcare Analytics,CLI013,2026-04-08,2026-08-20,Planning,Critical,3500,680,0,
PRJ014,Financial Reporting Tool,CLI014,2026-03-05,2026-05-20,In Progress,Medium,1600,340,238,
PRJ015,IoT Device Manager,CLI015,2026-04-12,2026-07-25,Planning,High,2400,500,0,
PRJ016,Social Media Dashboard,CLI016,2026-03-30,2026-06-10,In Progress,Low,900,300,150,
PRJ017,Logistics Optimization,CLI017,2026-04-18,2026-08-05,Planning,Medium,1700,460,0,PRJ009
PRJ018,Quality Assurance Portal,CLI018,2026-03-12,2026-05-25,In Progress,High,2100,380,228,
PRJ019,Training Management System,CLI019,2026-04-22,2026-07-10,Planning,Medium,1400,390,0,
PRJ020,Fleet Management App,CLI020,2026-03-08,2026-06-05,In Progress,High,2300,440,220,
PRJ021,Compliance Tracking Tool,CLI021,2026-04-25,2026-08-15,Planning,Critical,3200,620,0,
PRJ022,Customer Support Portal,CLI022,2026-03-18,2026-05-28,In Progress,Medium,1100,310,186,
PRJ023,Event Management Platform,CLI023,2026-04-02,2026-07-20,Planning,Low,750,480,0,
PRJ024,Appointment Scheduling System,CLI024,2026-03-28,2026-06-12,In Progress,Medium,1350,350,175,
PRJ025,Asset Tracking Solution,CLI025,2026-04-14,2026-08-02,Planning,High,2600,510,0,PRJ015
PRJ026,Knowledge Base Portal,CLI026,2026-03-22,2026-06-08,In Progress,Medium,1250,330,198,
PRJ027,Performance Monitoring Tool,CLI027,2026-04-28,2026-07-30,Planning,High,2800,490,0,
PRJ028,Vendor Management System,CLI028,2026-03-15,2026-06-25,In Progress,Medium,1450,400,240,
PRJ029,Budget Planning Tool,CLI029,2026-04-06,2026-07-12,Planning,High,2200,430,0,
PRJ030,Content Management System,CLI030,2026-03-24,2026-06-15,In Progress,Medium,1550,360,216,
PRJ031,Workflow Automation Platform,CLI031,2026-04-16,2026-08-08,Planning,Critical,3800,650,0,
PRJ032,Risk Assessment Tool,CLI032,2026-03-11,2026-05-30,In Progress,High,2400,370,259,
PRJ033,Territory Management App,CLI033,2026-04-20,2026-07-28,Planning,Medium,1600,440,0,
PRJ034,Order Processing System,CLI034,2026-03-26,2026-06-18,In Progress,High,2100,390,195,
PRJ035,Network Monitoring Tool,CLI035,2026-04-12,2026-07-22,Planning,Critical,3300,570,0,
PRJ036,Survey Management Platform,CLI036,2026-03-16,2026-06-02,In Progress,Low,800,290,174,
PRJ037,Booking Management System,CLI037,2026-04-24,2026-08-12,Planning,Medium,1750,460,0,
PRJ038,Contract Management Portal,CLI038,2026-03-20,2026-06-28,In Progress,High,2500,420,252,
PRJ039,Energy Management Dashboard,CLI039,2026-04-10,2026-07-18,Planning,Medium,1800,450,0,
PRJ040,Student Information System,CLI040,2026-03-29,2026-06-20,In Progress,High,2200,410,287,
PRJ041,Maintenance Tracking Tool,CLI041,2026-04-18,2026-08-06,Planning,Medium,1400,380,0,PRJ025
PRJ042,Recipe Management App,CLI042,2026-03-14,2026-05-26,In Progress,Low,600,280,168,
PRJ043,Subscription Management System,CLI043,2026-04-26,2026-08-18,Planning,High,2700,530,0,
PRJ044,Time Tracking Portal,CLI044,2026-03-23,2026-06-12,In Progress,Medium,1300,340,204,
PRJ045,Communication Hub Platform,CLI045,2026-04-08,2026-07-26,Planning,Critical,3600,610,0,
