loan_id,origination_date,loan_type,principal_amount,interest_rate,term_months,borrower_credit_score,debt_to_income_ratio,loan_to_value_ratio,borrower_age,annual_income,employment_years,geographic_region,industry_sector,payment_status,months_current,total_payments_made,current_balance,days_past_due,default_flag,default_date,recovery_amount
L2024001,2024-01-15,Commercial,450000,6.25,84,720,0.42,0.75,45,185000,8,Northeast,Manufacturing,Current,15,89250,398750,0,0,,
L2024002,2024-01-22,Residential,285000,4.85,360,685,0.38,0.80,32,95000,5,Southeast,Technology,Current,15,4988,279456,0,0,,
L2024003,2024-02-03,Personal,35000,9.75,60,640,0.55,0.00,28,78000,3,Midwest,Healthcare,Default,8,4667,32156,127,1,2024-09-15,8500
L2024004,2024-02-10,Commercial,750000,5.95,120,745,0.35,0.70,52,285000,15,West,Real Estate,Current,14,87500,715625,0,0,,
L2024005,2024-02-18,Residential,195000,5.15,360,655,0.45,0.85,29,68000,4,Northeast,Education,30 Days Late,14,2708,192583,31,0,,
L2024006,2024-03-02,Personal,25000,11.25,48,580,0.62,0.00,35,55000,7,Southeast,Retail,Default,10,4167,21875,98,1,2024-11-08,5200
L2024007,2024-03-15,Commercial,320000,6.75,72,700,0.48,0.78,41,125000,12,Midwest,Construction,60 Days Late,13,56000,292000,67,0,,
L2024008,2024-03-22,Residential,425000,4.95,360,725,0.32,0.75,38,165000,9,West,Finance,Current,13,5903,418237,0,0,,
L2024009,2024-04-05,Personal,42000,10.50,72,615,0.58,0.00,42,82000,6,Northeast,Manufacturing,Current,12,7000,38500,0,0,,
L2024010,2024-04-12,Commercial,680000,6.15,96,715,0.41,0.72,48,225000,18,Southeast,Healthcare,Current,12,85000,663000,0,0,,
L2024011,2024-04-25,Residential,315000,5.25,360,670,0.43,0.82,33,98000,6,Midwest,Technology,Current,12,4375,310156,0,0,,
L2024012,2024-05-08,Personal,28000,12.15,36,595,0.59,0.00,26,48000,2,West,Retail,Default,6,3889,25667,145,1,2024-10-22,3100
L2024013,2024-05-15,Commercial,520000,6.45,84,735,0.38,0.68,55,195000,22,Northeast,Real Estate,Current,11,68250,489583,0,0,,
L2024014,2024-05-28,Residential,265000,5.05,360,690,0.41,0.78,36,115000,8,Southeast,Education,Current,11,3681,260729,0,0,,
L2024015,2024-06-10,Personal,38000,9.95,60,625,0.52,0.00,31,73000,5,Midwest,Finance,90 Days Late,10,6333,33917,95,0,,
L2024016,2024-06-18,Commercial,890000,5.85,108,758,0.33,0.65,49,315000,16,West,Manufacturing,Current,10,82407,848148,0,0,,
L2024017,2024-06-25,Residential,175000,5.35,360,645,0.47,0.88,30,62000,4,Northeast,Healthcare,Current,10,2431,172222,0,0,,
L2024018,2024-07-08,Personal,31000,11.75,48,605,0.56,0.00,38,68000,9,Southeast,Construction,Default,7,4521,27958,112,1,2024-12-15,4650
L2024019,2024-07-15,Commercial,425000,6.55,78,695,0.44,0.74,44,158000,11,Midwest,Technology,Current,9,48958,404167,0,0,,
L2024020,2024-07-28,Residential,385000,4.75,360,715,0.36,0.76,41,185000,13,West,Finance,Current,9,5347,379097,0,0,,
L2024021,2024-08-12,Personal,45000,10.25,84,635,0.54,0.00,29,85000,4,Northeast,Retail,Current,8,4286,42857,0,0,,
L2024022,2024-08-20,Commercial,615000,6.25,90,720,0.39,0.71,46,205000,14,Southeast,Real Estate,Current,8,54667,583333,0,0,,
L2024023,2024-08-30,Residential,225000,5.15,360,665,0.42,0.83,34,78000,7,Midwest,Education,Current,8,3125,221875,0,0,,
L2024024,2024-09-15,Personal,33000,11.95,42,585,0.61,0.00,25,45000,1,West,Healthcare,60 Days Late,7,5500,29857,63,0,,
L2024025,2024-09-22,Commercial,485000,6.85,72,685,0.46,0.79,43,138000,10,Northeast,Manufacturing,Current,7,47292,462708,0,0,,
L2024026,2024-10-05,Residential,295000,5.45,360,680,0.44,0.81,37,105000,6,Southeast,Technology,Current,6,4097,290521,0,0,,
L2024027,2024-10-18,Personal,29000,9.85,66,620,0.53,0.00,33,71000,8,Midwest,Finance,Current,6,2636,27545,0,0,,
L2024028,2024-10-25,Commercial,720000,5.95,96,740,0.37,0.69,51,265000,19,West,Construction,Current,6,45000,697500,0,0,,
L2024029,2024-11-08,Residential,165000,5.25,360,655,0.48,0.86,28,58000,3,Northeast,Retail,30 Days Late,5,2292,163542,35,0,,
L2024030,2024-11-15,Personal,37000,10.75,72,610,0.57,0.00,36,78000,12,Southeast,Healthcare,Current,5,2569,35694,0,0,,
