tower_id,date,uptime_percentage,capacity_utilization_percentage,signal_strength_dbm,data_throughput_mbps,call_drop_rate_percentage,maintenance_hours,power_consumption_kwh,equipment_age_months
T001,2024-11-01,99.2,78.5,-65,145.2,0.8,2.5,1250,18
T001,2024-11-02,98.8,82.1,-67,138.9,1.2,0,1280,18
T001,2024-11-03,99.5,75.3,-64,152.1,0.6,0,1245,18
T002,2024-11-01,96.3,89.2,-72,98.7,2.1,8.5,1450,36
T002,2024-11-02,97.1,91.5,-71,102.3,1.9,0,1475,36
T002,2024-11-03,95.8,93.2,-73,89.4,2.8,4.2,1520,36
T003,2024-11-01,99.8,45.2,-58,201.5,0.2,0,980,8
T003,2024-11-02,99.9,48.7,-57,205.8,0.1,0,995,8
T003,2024-11-03,99.7,52.1,-59,198.2,0.3,1.0,1010,8
T004,2024-11-01,92.1,96.8,-78,67.3,4.2,12.3,1680,48
T004,2024-11-02,94.5,94.2,-76,72.8,3.8,0,1650,48
T004,2024-11-03,91.8,97.1,-79,63.9,4.7,6.8,1720,48
T005,2024-11-01,98.9,67.4,-62,167.8,0.9,1.5,1180,24
T005,2024-11-02,99.3,71.2,-61,172.4,0.7,0,1200,24
T005,2024-11-03,98.6,69.8,-63,165.1,1.1,0,1190,24
T006,2024-11-01,97.2,85.6,-69,112.6,1.6,3.2,1380,30
T006,2024-11-02,98.0,83.9,-68,118.3,1.4,0,1365,30
T006,2024-11-03,96.8,87.2,-70,108.9,1.8,2.1,1395,30
T007,2024-11-01,99.1,58.3,-60,189.7,0.8,0,1080,12
T007,2024-11-02,99.4,61.7,-59,194.2,0.6,0,1095,12
T007,2024-11-03,98.9,55.9,-61,185.3,0.9,1.8,1075,12
T008,2024-11-01,93.7,92.4,-75,78.5,3.5,9.7,1580,42
T008,2024-11-02,95.2,90.8,-74,83.1,3.1,0,1560,42
T008,2024-11-03,92.9,94.1,-76,75.2,3.9,5.4,1610,42
T009,2024-11-01,99.6,72.8,-63,159.4,0.4,0,1220,20
T009,2024-11-02,99.2,76.1,-64,154.8,0.8,0,1235,20
T009,2024-11-03,99.7,74.5,-62,162.1,0.3,0,1210,20
T010,2024-11-01,90.5,98.2,-81,58.7,5.1,15.2,1750,54
T010,2024-11-02,92.8,96.9,-80,64.2,4.6,0,1725,54
T010,2024-11-03,89.7,99.1,-82,55.3,5.8,8.9,1780,54
T011,2024-11-01,98.5,79.3,-66,142.7,1.0,2.8,1265,22
T011,2024-11-02,99.1,77.6,-65,147.9,0.7,0,1250,22
T011,2024-11-03,98.2,81.4,-67,138.5,1.3,0,1275,22
T012,2024-11-01,96.9,88.7,-73,95.8,2.2,6.1,1420,34
T012,2024-11-02,97.6,86.3,-72,101.4,1.9,0,1405,34
T012,2024-11-03,96.2,90.5,-74,91.7,2.5,3.7,1440,34
