lead_id,source,company_size,industry,lead_score_previous,created_date,last_activity_date,engagement_score,email_opens,email_clicks,website_visits,demo_requested,whitepaper_downloads,webinar_attended,phone_calls,meetings_scheduled,days_to_first_response,converted,qualification_date,deal_value
L001,LinkedIn Ads,Mid-Market,Technology,65,2024-08-15,2024-10-22,78,12,8,25,1,3,1,2,1,2,1,2024-09-18,45000
L002,Organic Search,Enterprise,Healthcare,42,2024-07-22,2024-08-15,23,3,1,8,0,1,0,0,0,14,0,,0
L003,Trade Show,Small Business,Manufacturing,71,2024-09-03,2024-11-28,89,18,12,42,1,2,2,4,2,1,1,2024-10-15,28000
L004,Content Marketing,Mid-Market,Financial Services,38,2024-06-18,2024-07-02,15,2,0,4,0,0,0,1,0,8,0,,0
L005,Referral,Enterprise,Retail,85,2024-10-12,2024-12-20,95,25,18,38,1,4,1,3,2,1,1,2024-11-22,125000
L006,Cold Email,Small Business,Technology,29,2024-05-30,2024-06-12,18,4,1,6,0,0,0,0,0,21,0,,0
L007,Webinar,Mid-Market,Education,58,2024-08-28,2024-10-15,67,9,6,19,0,2,1,1,1,5,1,2024-10-02,35000
L008,LinkedIn Ads,Enterprise,Manufacturing,73,2024-09-15,2024-11-30,82,15,11,31,1,3,0,2,2,3,1,2024-10-28,89000
L009,Organic Search,Small Business,Healthcare,31,2024-07-05,2024-07-20,21,5,2,7,0,1,0,0,0,12,0,,0
L010,Trade Show,Mid-Market,Technology,68,2024-08-10,2024-10-25,74,11,7,28,1,1,1,3,1,2,1,2024-09-20,52000
L011,Content Marketing,Enterprise,Financial Services,45,2024-06-25,2024-08-08,34,6,3,15,0,2,0,1,0,9,0,,0
L012,Referral,Small Business,Retail,82,2024-09-20,2024-12-05,91,22,15,35,1,3,2,2,2,1,1,2024-11-10,18000
L013,Cold Email,Mid-Market,Education,26,2024-05-15,2024-05-28,12,3,0,3,0,0,0,0,0,18,0,,0
L014,Webinar,Enterprise,Technology,76,2024-09-08,2024-11-22,85,17,13,29,1,2,1,3,2,2,1,2024-10-20,95000
L015,LinkedIn Ads,Small Business,Manufacturing,39,2024-07-12,2024-08-25,28,7,3,12,0,1,0,1,0,11,0,,0
L016,Organic Search,Mid-Market,Healthcare,62,2024-08-22,2024-10-18,71,13,9,22,1,2,1,2,1,4,1,2024-09-28,41000
L017,Trade Show,Enterprise,Retail,79,2024-09-25,2024-12-10,88,19,14,33,1,4,1,2,2,2,1,2024-11-15,108000
L018,Content Marketing,Small Business,Financial Services,33,2024-06-08,2024-06-22,19,4,1,9,0,0,0,0,0,15,0,,0
L019,Referral,Mid-Market,Technology,87,2024-10-05,2024-12-18,93,24,17,40,1,3,2,4,2,1,1,2024-11-18,67000
L020,Cold Email,Enterprise,Education,28,2024-05-22,2024-06-05,14,2,1,5,0,0,0,0,0,19,0,,0
L021,Webinar,Small Business,Manufacturing,55,2024-08-18,2024-10-02,61,8,5,18,0,1,1,1,1,6,1,2024-09-25,23000
L022,LinkedIn Ads,Mid-Market,Healthcare,69,2024-09-12,2024-11-25,76,14,10,26,1,2,0,2,1,3,1,2024-10-25,48000
L023,Organic Search,Enterprise,Technology,41,2024-07-08,2024-07-28,25,5,2,11,0,1,0,0,0,13,0,,0
L024,Trade Show,Small Business,Retail,74,2024-08-30,2024-11-12,81,16,11,30,1,2,1,3,2,2,1,2024-10-08,31000
L025,Content Marketing,Mid-Market,Financial Services,47,2024-06-30,2024-08-20,38,7,4,16,0,2,0,1,0,8,0,,0
L026,Referral,Enterprise,Manufacturing,84,2024-10-18,2024-12-28,94,26,19,42,1,4,2,3,2,1,1,2024-12-02,142000
L027,Cold Email,Small Business,Education,24,2024-05-08,2024-05-18,10,1,0,2,0,0,0,0,0,22,0,,0
L028,Webinar,Mid-Market,Technology,59,2024-08-25,2024-10-12,65,10,7,21,0,2,1,2,1,4,1,2024-10-05,38000
L029,LinkedIn Ads,Enterprise,Healthcare,72,2024-09-18,2024-12-02,83,18,12,32,1,3,1,2,2,3,1,2024-11-05,76000
L030,Organic Search,Small Business,Retail,35,2024-07-15,2024-08-02,22,4,2,8,0,0,0,0,0,16,0,,0
L031,Trade Show,Mid-Market,Manufacturing,77,2024-09-05,2024-11-18,86,20,13,34,1,3,2,3,2,1,1,2024-10-18,58000
L032,Content Marketing,Enterprise,Financial Services,44,2024-06-12,2024-07-30,32,6,3,13,0,1,0,1,0,10,0,,0
L033,Referral,Small Business,Technology,81,2024-09-28,2024-12-15,90,21,16,36,1,2,1,2,2,2,1,2024-11-25,22000
L034,Cold Email,Mid-Market,Education,27,2024-05-18,2024-06-02,13,3,0,4,0,0,0,0,0,20,0,,0
L035,Webinar,Enterprise,Manufacturing,75,2024-09-02,2024-11-20,84,16,12,28,1,3,1,3,2,2,1,2024-10-22,99000
L036,LinkedIn Ads,Small Business,Healthcare,37,2024-07-25,2024-08-18,26,6,2,10,0,1,0,0,0,12,0,,0
L037,Organic Search,Mid-Market,Retail,61,2024-08-08,2024-10-05,69,12,8,24,1,1,1,1,1,5,1,2024-09-15,43000
L038,Trade Show,Enterprise,Technology,78,2024-09-22,2024-12-08,87,22,15,37,1,4,1,2,2,2,1,2024-11-12,118000
L039,Content Marketing,Small Business,Financial Services,32,2024-06-20,2024-07-08,20,3,1,7,0,0,0,0,0,14,0,,0
L040,Referral,Mid-Market,Manufacturing,86,2024-10-08,2024-12-22,96,27,20,41,1,3,2,4,2,1,1,2024-11-28,71000
