team_id,engagement_score,collaboration_score,leadership_score,work_life_balance,career_growth_score,autonomy_score,recognition_score,communication_score,trust_score,overall_satisfaction
T001,4.3,4.5,4.4,4.2,4.1,4.3,4.2,4.4,4.3,4.3
T002,3.8,3.6,3.5,3.9,3.4,3.7,3.5,3.6,3.4,3.6
T003,4.6,4.7,4.5,4.4,4.3,4.4,4.5,4.6,4.5,4.5
T004,4.1,4.0,4.2,4.0,3.9,4.1,4.0,4.1,4.0,4.0
T005,4.4,4.3,4.4,4.3,4.2,4.3,4.3,4.4,4.2,4.3
T006,3.2,3.1,3.0,3.4,3.0,3.2,3.1,3.0,2.9,3.1
T007,4.0,3.9,4.1,4.0,3.8,4.0,3.9,4.0,3.9,3.9
T008,4.2,4.1,4.3,4.1,4.0,4.2,4.1,4.2,4.1,4.1
T009,3.9,3.8,4.0,3.8,3.7,3.9,3.8,3.9,3.8,3.8
T010,4.5,4.4,4.4,4.3,4.4,4.4,4.5,4.4,4.4,4.4
T011,3.7,3.5,3.6,3.8,3.4,3.6,3.5,3.6,3.5,3.6
T012,4.7,4.6,4.5,4.2,4.6,4.5,4.7,4.6,4.5,4.6
T013,4.0,3.9,4.1,4.2,3.8,4.0,3.9,4.0,3.9,4.0
T014,4.3,4.2,4.4,4.1,4.2,4.3,4.2,4.3,4.2,4.2
T015,3.6,3.4,3.7,3.7,3.5,3.6,3.4,3.5,3.4,3.5
