Week_Ending,Cash_Inflows,Cash_Outflows,Net_Cash_Flow,Ending_Cash_Balance,Operating_Revenue,Collection_Timing_Days
2024-01-07,285000,198000,87000,1245000,320000,45
2024-01-14,195000,205000,-10000,1235000,280000,52
2024-01-21,425000,187000,238000,1473000,450000,38
2024-01-28,315000,225000,90000,1563000,380000,42
2024-02-04,225000,195000,30000,1593000,290000,48
2024-02-11,385000,210000,175000,1768000,420000,35
2024-02-18,275000,188000,87000,1855000,310000,41
2024-02-25,195000,245000,-50000,1805000,250000,55
2024-03-03,445000,198000,247000,2052000,480000,33
2024-03-10,325000,215000,110000,2162000,370000,39
2024-03-17,385000,205000,180000,2342000,420000,36
2024-03-24,295000,198000,97000,2439000,340000,44
2024-03-31,225000,235000,-10000,2429000,280000,51
2024-04-07,365000,188000,177000,2606000,400000,37
2024-04-14,285000,225000,60000,2666000,325000,43
2024-04-21,195000,198000,-3000,2663000,260000,49
2024-04-28,425000,215000,210000,2873000,465000,34
2024-05-05,345000,205000,140000,3013000,385000,40
2024-05-12,275000,188000,87000,3100000,315000,46
2024-05-19,385000,225000,160000,3260000,430000,35
2024-05-26,195000,198000,-3000,3257000,245000,53
2024-06-02,465000,205000,260000,3517000,510000,32
2024-06-09,325000,215000,110000,3627000,375000,41
2024-06-16,285000,198000,87000,3714000,330000,47
2024-06-23,385000,235000,150000,3864000,435000,38
2024-06-30,245000,225000,20000,3884000,295000,50
2024-07-07,425000,188000,237000,4121000,480000,33
2024-07-14,365000,205000,160000,4281000,415000,39
2024-07-21,295000,198000,97000,4378000,345000,45
2024-07-28,385000,225000,160000,4538000,440000,36
2024-08-04,225000,215000,10000,4548000,285000,52
2024-08-11,465000,198000,267000,4815000,525000,31
2024-08-18,345000,205000,140000,4955000,395000,42
2024-08-25,275000,188000,87000,5042000,325000,48
2024-09-01,385000,235000,150000,5192000,445000,37
2024-09-08,195000,225000,-30000,5162000,255000,54
2024-09-15,525000,198000,327000,5489000,580000,30
2024-09-22,365000,205000,160000,5649000,425000,40
2024-09-29,285000,215000,70000,5719000,335000,46
2024-10-06,425000,188000,237000,5956000,485000,34
2024-10-13,345000,225000,120000,6076000,395000,43
2024-10-20,275000,198000,77000,6153000,325000,49
2024-10-27,385000,205000,180000,6333000,445000,35
2024-11-03,195000,235000,-40000,6293000,265000,56
2024-11-10,465000,188000,277000,6570000,535000,29
2024-11-17,325000,215000,110000,6680000,385000,41
2024-11-24,285000,198000,87000,6767000,340000,47
2024-12-01,385000,225000,160000,6927000,450000,36
2024-12-08,245000,205000,40000,6967000,295000,51
2024-12-15,525000,188000,337000,7304000,595000,28
2024-12-22,285000,215000,70000,7374000,345000,44
2024-12-29,195000,235000,-40000,7334000,255000,58
