contract_id,vendor_id,contract_start,contract_end,contract_value,renewal_type,payment_terms,contract_status,auto_renewal,next_review_date
CT001,V001,2023-03-15,2024-03-15,125000,Annual,Net 30,Active,Yes,2024-02-15
CT002,V002,2022-08-22,2024-08-22,89000,Biennial,Net 15,Active,No,2024-06-22
CT003,V003,2023-01-10,2024-01-10,45000,Annual,Net 30,Active,Yes,2023-12-10
CT004,V004,2023-05-18,2025-05-18,156000,Biennial,Net 45,Active,No,2025-03-18
CT005,V005,2022-11-03,2024-11-03,67000,Biennial,Net 30,Active,Yes,2024-09-03
CT006,V006,2023-09-12,2024-09-12,98000,Annual,Net 30,Active,No,2024-07-12
CT007,V007,2023-02-28,2024-02-28,23000,Annual,Net 15,Active,Yes,2024-01-28
CT008,V008,2022-06-14,2024-06-14,78000,Biennial,Net 30,Active,No,2024-04-14
CT009,V009,2023-04-07,2025-04-07,134000,Biennial,Net 30,Active,Yes,2025-02-07
CT010,V010,2022-12-20,2024-12-20,112000,Biennial,Net 45,Active,No,2024-10-20
CT011,V011,2023-01-15,2024-01-15,56000,Annual,Net 30,Active,Yes,2023-12-15
CT012,V012,2023-07-30,2024-07-30,89000,Annual,Net 30,Active,No,2024-05-30
CT013,V013,2022-05-08,2024-05-08,43000,Biennial,Net 15,Active,Yes,2024-03-08
CT014,V014,2023-08-25,2024-08-25,67000,Annual,Net 30,Active,No,2024-06-25
CT015,V015,2022-09-17,2024-09-17,54000,Biennial,Net 30,Active,Yes,2024-07-17
CT016,V016,2023-11-05,2025-11-05,145000,Biennial,Net 45,Active,No,2025-09-05
CT017,V017,2023-01-12,2024-01-12,98000,Annual,Net 30,Active,Yes,2023-12-12
CT018,V018,2022-04-23,2024-04-23,76000,Biennial,Net 30,Active,No,2024-02-23
CT019,V019,2023-06-18,2024-06-18,18000,Annual,Net 15,Active,Yes,2024-04-18
CT020,V020,2023-12-09,2024-12-09,65000,Annual,Net 30,Active,No,2024-10-09
CT021,V021,2022-07-26,2024-07-26,87000,Biennial,Net 30,Active,Yes,2024-05-26
CT022,V022,2023-03-31,2025-03-31,123000,Biennial,Net 45,Active,No,2025-01-31
CT023,V023,2023-05-14,2024-05-14,34000,Annual,Net 30,Active,Yes,2024-03-14
CT024,V024,2022-10-07,2024-10-07,109000,Biennial,Net 30,Active,No,2024-08-07
CT025,V025,2023-11-22,2024-11-22,28000,Annual,Net 15,Active,Yes,2024-09-22
CT026,V026,2022-06-15,2024-06-15,167000,Biennial,Net 30,Active,No,2024-04-15
CT027,V027,2023-02-18,2024-02-18,78000,Annual,Net 30,Active,Yes,2024-01-18
CT028,V028,2023-08-11,2025-08-11,134000,Biennial,Net 45,Active,No,2025-06-11
CT029,V029,2022-12-04,2024-12-04,67000,Biennial,Net 30,Active,Yes,2024-10-04
CT030,V030,2023-09-27,2024-09-27,21000,Annual,Net 15,Active,No,2024-07-27
