vehicle_id,vehicle_type,route_id,fuel_efficiency_mpg,breakdown_count_18mo,utilization_rate_pct,miles_driven_18mo,maintenance_cost_18mo,age_years,capacity,last_major_service
BUS001,Bus,R101,6.2,3,78,45000,12500,8,40,2024-03-15
BUS002,Bus,R102,5.8,5,65,38000,18500,12,40,2024-01-20
BUS003,Bus,R103,7.1,1,85,52000,8500,5,45,2024-04-10
BUS004,Bus,R104,6.5,2,72,41000,11200,7,40,2024-02-28
BUS005,Bus,R105,5.2,8,58,35000,25000,15,40,2023-12-05
RAIL001,Light Rail,R201,45.5,1,92,75000,15000,3,120,2024-03-22
RAIL002,Light Rail,R202,42.3,2,88,68000,18500,6,120,2024-01-15
RAIL003,Light Rail,R203,44.8,0,95,82000,12000,2,150,2024-04-05
RAIL004,Light Rail,R204,41.2,3,83,64000,22000,8,120,2024-02-10
PARA001,Paratransit,P301,8.5,4,42,18000,14500,9,8,2024-03-01
PARA002,Paratransit,P302,9.2,2,38,16500,9500,6,12,2024-04-12
PARA003,Paratransit,P303,7.8,6,35,15000,19000,11,8,2023-11-20
BUS006,Bus,R106,6.8,1,89,49000,7500,4,45,2024-04-20
BUS007,Bus,R107,5.9,4,68,39000,16500,10,40,2024-01-08
BUS008,Bus,R108,7.3,0,91,53000,6000,3,50,2024-05-01
BUS009,Bus,R109,6.1,3,74,42000,13000,9,40,2024-03-18
BUS010,Bus,R110,5.5,7,61,36000,22000,13,40,2023-12-15
RAIL005,Light Rail,R205,43.8,1,90,78000,14500,4,140,2024-02-25
RAIL006,Light Rail,R206,40.9,4,79,61000,25000,9,120,2024-01-30
BUS011,Bus,R111,6.7,2,81,46000,10500,6,45,2024-03-25
BUS012,Bus,R112,5.7,5,63,37000,19500,11,40,2024-02-05
PARA004,Paratransit,P304,8.8,1,45,19000,8500,5,10,2024-04-15
PARA005,Paratransit,P305,7.5,5,32,14000,17500,12,8,2023-10-30
BUS013,Bus,R113,7.0,1,86,50000,8000,5,45,2024-04-08
BUS014,Bus,R114,6.3,3,75,43000,12500,8,40,2024-03-12
