proposal_id,proposal_name,client_name,industry,proposal_type,outcome,deal_value,submission_date,decision_date,partner_lead,total_hours_spent
PROP001,Digital Transformation Strategy,TechCorp Industries,Technology,Strategy Consulting,Won,450000,2025-01-15,2025-02-28,Sarah Chen,12
PROP002,Supply Chain Optimization,Global Manufacturing Ltd,Manufacturing,Operations,Won,320000,2025-01-22,2025-03-10,Michael Roberts,10
PROP003,HR Modernization Project,People First Inc,Healthcare,HR Transformation,Lost,180000,2025-02-01,2025-03-15,Jennifer Walsh,14
PROP004,Cloud Migration Strategy,StartupTech,Technology,IT Strategy,Won,275000,2025-02-10,2025-03-20,David Kim,8
PROP005,Market Entry Analysis,European Expansion Co,Retail,Market Research,Lost,95000,2025-02-15,2025-03-25,Sarah Chen,11
PROP006,Financial Process Reengineering,MegaBank Corp,Financial Services,Process Improvement,Won,680000,2025-02-20,2025-04-05,Amanda Foster,9
PROP007,Sustainability Initiative,GreenEnergy Solutions,Energy,Sustainability,Won,420000,2025-03-01,2025-04-15,Michael Roberts,13
PROP008,Customer Experience Transformation,RetailGiant,Retail,CX Strategy,Lost,340000,2025-03-05,2025-04-20,Jennifer Walsh,15
PROP009,Operational Excellence Program,Manufacturing Plus,Manufacturing,Operations,Won,520000,2025-03-10,2025-04-25,David Kim,11
PROP010,Data Analytics Platform,InsightCorp,Technology,Data Strategy,Lost,230000,2025-03-15,2025-05-01,Sarah Chen,16
PROP011,Merger Integration Support,AcquireCo,Financial Services,M&A Advisory,Won,750000,2025-03-20,2025-05-10,Amanda Foster,10
PROP012,Digital Marketing Overhaul,BrandBuilders,Marketing,Digital Strategy,Won,185000,2025-03-25,2025-05-15,Michael Roberts,9
PROP013,Risk Management Framework,SecureFinance,Financial Services,Risk Advisory,Lost,290000,2025-04-01,2025-05-20,Jennifer Walsh,12
PROP014,Innovation Lab Setup,FutureTech Industries,Technology,Innovation,Won,380000,2025-04-05,2025-06-01,David Kim,14
PROP015,Workforce Planning Strategy,TalentCorp,Healthcare,HR Strategy,Lost,150000,2025-04-10,2025-06-05,Sarah Chen,13
