ticket_id,agent_id,customer_id,channel,ticket_type,priority,created_date,resolved_date,resolution_time_hours,customer_satisfaction,escalated,manager_intervention
TKT-2024-001,AGT-015,CUST-4782,email,technical,medium,2024-10-15 09:15:00,2024-10-16 14:30:00,29.25,4.5,FALSE,FALSE
TKT-2024-002,AGT-032,CUST-1245,chat,billing,high,2024-10-15 10:22:00,2024-10-15 11:45:00,1.38,4.8,FALSE,FALSE
TKT-2024-003,AGT-008,CUST-3456,phone,technical,urgent,2024-10-15 11:30:00,2024-10-18 16:15:00,76.75,3.2,TRUE,TRUE
TKT-2024-004,AGT-021,CUST-7890,email,account_setup,low,2024-10-15 13:45:00,2024-10-17 10:20:00,44.58,4.6,FALSE,FALSE
TKT-2024-005,AGT-015,CUST-5671,chat,product_inquiry,medium,2024-10-15 14:10:00,2024-10-16 09:30:00,19.33,4.9,FALSE,FALSE
TKT-2024-006,AGT-044,CUST-2134,email,bug_report,high,2024-10-15 15:20:00,2024-10-20 11:45:00,116.42,2.8,TRUE,TRUE
TKT-2024-007,AGT-003,CUST-8901,phone,integration,medium,2024-10-16 08:30:00,2024-10-16 16:45:00,8.25,4.7,FALSE,FALSE
TKT-2024-008,AGT-029,CUST-3467,chat,billing,low,2024-10-16 09:45:00,2024-10-16 12:15:00,2.5,4.4,FALSE,FALSE
TKT-2024-009,AGT-038,CUST-6789,email,technical,urgent,2024-10-16 11:20:00,2024-10-19 14:30:00,75.17,3.6,TRUE,FALSE
TKT-2024-010,AGT-015,CUST-9012,phone,account_setup,medium,2024-10-16 13:15:00,2024-10-17 11:45,22.5,4.8,FALSE,FALSE
TKT-2024-011,AGT-007,CUST-4523,email,product_inquiry,low,2024-10-16 14:30:00,2024-10-18 09:15:00,42.75,4.1,FALSE,FALSE
TKT-2024-012,AGT-032,CUST-7856,chat,technical,high,2024-10-16 15:45:00,2024-10-17 10:30:00,18.75,4.9,FALSE,FALSE
TKT-2024-013,AGT-051,CUST-2345,phone,billing,medium,2024-10-17 08:20:00,2024-10-21 16:40:00,104.33,2.3,TRUE,TRUE
TKT-2024-014,AGT-012,CUST-5678,email,bug_report,urgent,2024-10-17 09:30:00,2024-10-18 13:45:00,28.25,4.2,FALSE,FALSE
TKT-2024-015,AGT-026,CUST-8904,chat,integration,low,2024-10-17 10:15:00,2024-10-17 14:20:00,4.08,4.6,FALSE,FALSE
TKT-2024-016,AGT-041,CUST-1234,email,account_setup,medium,2024-10-17 11:45:00,2024-10-19 15:30:00,51.75,3.8,FALSE,TRUE
TKT-2024-017,AGT-019,CUST-4567,phone,technical,high,2024-10-17 13:20:00,2024-10-18 09:45:00,20.42,4.7,FALSE,FALSE
TKT-2024-018,AGT-033,CUST-7891,chat,product_inquiry,medium,2024-10-17 14:50:00,2024-10-18 11:15:00,20.42,4.5,FALSE,FALSE
TKT-2024-019,AGT-048,CUST-2456,email,billing,low,2024-10-17 16:10:00,2024-10-22 10:30:00,114.33,2.9,TRUE,TRUE
TKT-2024-020,AGT-015,CUST-5679,phone,bug_report,urgent,2024-10-18 08:45:00,2024-10-18 17:20:00,8.58,4.8,FALSE,FALSE
TKT-2024-021,AGT-024,CUST-8905,email,integration,medium,2024-10-18 09:20:00,2024-10-19 12:45:00,27.42,4.3,FALSE,FALSE
TKT-2024-022,AGT-037,CUST-1235,chat,technical,high,2024-10-18 10:30:00,2024-10-20 14:15:00,51.75,3.7,TRUE,FALSE
TKT-2024-023,AGT-006,CUST-4568,phone,account_setup,low,2024-10-18 11:45:00,2024-10-19 08:30:00,20.75,4.4,FALSE,FALSE
TKT-2024-024,AGT-028,CUST-7892,email,product_inquiry,medium,2024-10-18 13:15:00,2024-10-19 16:40:00,27.42,4.6,FALSE,FALSE
TKT-2024-025,AGT-045,CUST-2457,chat,billing,urgent,2024-10-18 14:20:00,2024-10-23 11:50:00,117.5,2.1,TRUE,TRUE
TKT-2024-026,AGT-013,CUST-5680,phone,technical,medium,2024-10-18 15:40:00,2024-10-19 13:25:00,21.75,4.5,FALSE,FALSE
TKT-2024-027,AGT-031,CUST-8906,email,bug_report,high,2024-10-19 08:50:00,2024-10-20 15:30:00,30.67,4.1,FALSE,FALSE
TKT-2024-028,AGT-039,CUST-1236,chat,integration,low,2024-10-19 09:30:00,2024-10-19 12:45:00,3.25,4.7,FALSE,FALSE
TKT-2024-029,AGT-022,CUST-4569,phone,account_setup,medium,2024-10-19 10:15:00,2024-10-20 14:50:00,28.58,4.2,FALSE,FALSE
TKT-2024-030,AGT-047,CUST-7893,email,technical,urgent,2024-10-19 11:20:00,2024-10-24 16:15:00,124.92,2.4,TRUE,TRUE
TKT-2024-031,AGT-015,CUST-2458,chat,product_inquiry,medium,2024-10-19 12:45:00,2024-10-20 10:30:00,21.75,4.9,FALSE,FALSE
