vehicle_id,date,fuel_amount_gallons,cost_per_gallon,total_fuel_cost,miles_driven,route_efficiency_rating,weather_condition,traffic_level
BUS001,2024-05-01,45.2,3.45,155.94,280,Good,Clear,Moderate
BUS001,2024-05-02,48.1,3.48,167.35,295,Fair,Rain,Heavy
BUS001,2024-05-03,42.8,3.42,146.38,275,Good,Clear,Light
BUS001,2024-05-04,47.3,3.50,165.55,290,Fair,Overcast,Moderate
BUS001,2024-05-05,44.6,3.47,154.76,285,Good,Clear,Light
BUS002,2024-05-01,52.3,3.45,180.44,285,Poor,Clear,Moderate
BUS002,2024-05-02,55.8,3.48,194.18,290,Poor,Rain,Heavy
BUS002,2024-05-03,49.7,3.42,169.97,278,Fair,Clear,Light
BUS002,2024-05-04,54.2,3.50,189.70,285,Poor,Overcast,Moderate
BUS002,2024-05-05,51.9,3.47,180.09,280,Fair,Clear,Light
BUS003,2024-05-01,38.5,3.45,132.83,295,Excellent,Clear,Moderate
BUS003,2024-05-02,41.2,3.48,143.38,300,Good,Rain,Heavy
BUS003,2024-05-03,36.8,3.42,125.86,290,Excellent,Clear,Light
BUS003,2024-05-04,40.1,3.50,140.35,295,Good,Overcast,Moderate
BUS003,2024-05-05,37.9,3.47,131.51,292,Excellent,Clear,Light
RAIL001,2024-05-01,82.5,3.45,284.63,1250,Excellent,Clear,Moderate
RAIL001,2024-05-02,88.2,3.48,306.94,1280,Good,Rain,Heavy
RAIL001,2024-05-03,79.8,3.42,272.92,1245,Excellent,Clear,Light
RAIL001,2024-05-04,85.6,3.50,299.60,1270,Good,Overcast,Moderate
RAIL001,2024-05-05,81.3,3.47,282.11,1255,Excellent,Clear,Light
RAIL002,2024-05-01,95.2,3.45,328.44,1180,Fair,Clear,Moderate
RAIL002,2024-05-02,102.5,3.48,356.70,1200,Poor,Rain,Heavy
RAIL002,2024-05-03,91.8,3.42,313.96,1175,Fair,Clear,Light
RAIL002,2024-05-04,98.7,3.50,345.45,1190,Fair,Overcast,Moderate
RAIL002,2024-05-05,93.4,3.47,324.10,1185,Fair,Clear,Light
PARA001,2024-05-01,18.5,3.45,63.83,155,Good,Clear,Moderate
PARA001,2024-05-02,20.2,3.48,70.30,160,Fair,Rain,Heavy
PARA001,2024-05-03,17.8,3.42,60.88,150,Good,Clear,Light
PARA001,2024-05-04,19.6,3.50,68.60,158,Fair,Overcast,Moderate
PARA001,2024-05-05,18.1,3.47,62.81,152,Good,Clear,Light
