platform,company_name,review_count,avg_rating,positive_sentiment_pct,negative_sentiment_pct,neutral_sentiment_pct,key_positive_themes,key_negative_themes,sentiment_trend_3months
G2,TechRival Corp,324,4.1,68,18,14,"ease of use;customer support;integration capabilities","pricing;learning curve;documentation","improving"
G2,InnovateTech Solutions,267,4.3,72,15,13,"user interface;customization;reliability","performance;limited features;support response time","stable"
G2,DataDyne Systems,189,3.8,61,24,15,"affordability;simplicity;quick setup","limited scalability;outdated interface;poor mobile support","declining"
G2,CloudFirst Technologies,445,4.5,78,12,10,"scalability;performance;enterprise features","complexity;high cost;steep learning curve","improving"
G2,NextGen Analytics,156,4.2,71,16,13,"analytics capabilities;visualizations;reporting","integration issues;limited customization;pricing model","stable"
Capterra,TechRival Corp,298,4.0,65,20,15,"feature richness;API quality;documentation","user interface;customer onboarding;mobile app","stable"
Capterra,InnovateTech Solutions,234,4.2,69,17,14,"intuitive design;good support;value for money","performance issues;limited integrations;reporting","improving"
Capterra,DataDyne Systems,167,3.7,58,26,16,"low cost;simple setup;basic functionality","lack of advanced features;poor scalability;outdated","declining"
Capterra,CloudFirst Technologies,389,4.4,76,14,10,"enterprise grade;excellent performance;comprehensive features","expensive;complex implementation;requires training","stable"
Capterra,NextGen Analytics,143,4.1,68,18,14,"strong analytics;good visualizations;flexible reporting","limited integrations;steep pricing;support quality","stable"
TrustRadius,TechRival Corp,89,4.2,71,16,13,"robust API;good documentation;reliable platform","user experience;mobile capabilities;pricing transparency","improving"
TrustRadius,InnovateTech Solutions,76,4.4,74,13,13,"excellent UI/UX;responsive support;good value","performance under load;feature gaps;integration complexity","improving"
TrustRadius,DataDyne Systems,52,3.6,54,29,17,"budget friendly;quick deployment;straightforward","limited functionality;poor mobile;lacks innovation","declining"
TrustRadius,CloudFirst Technologies,134,4.6,81,10,9,"best in class performance;excellent scalability;comprehensive","high cost;implementation complexity;learning curve","stable"
TrustRadius,NextGen Analytics,41,4.0,66,20,14,"strong reporting;good analytics;flexible dashboards","integration challenges;pricing model;limited support","declining"
