student_id,enrollment_date,course_id,completion_status,completion_date,completion_percentage,final_grade,enrollment_type,payment_status
STU001,2025-04-15,CRS001,completed,2025-06-20,100,87,premium,paid
STU002,2025-04-18,CRS002,dropped,2025-05-15,23,0,basic,paid
STU003,2025-04-20,CRS001,completed,2025-07-05,100,92,premium,paid
STU004,2025-04-22,CRS003,in_progress,,67,0,basic,overdue
STU005,2025-04-25,CRS002,completed,2025-06-30,100,78,premium,paid
STU006,2025-05-01,CRS004,dropped,2025-05-20,15,0,basic,refunded
STU007,2025-05-03,CRS001,completed,2025-07-15,100,95,premium,paid
STU008,2025-05-05,CRS005,in_progress,,89,0,premium,paid
STU009,2025-05-08,CRS003,dropped,2025-06-01,34,0,basic,paid
STU010,2025-05-10,CRS002,completed,2025-07-25,100,83,basic,paid
STU011,2025-05-12,CRS006,dropped,2025-05-25,12,0,basic,refunded
STU012,2025-05-15,CRS004,completed,2025-08-10,100,91,premium,paid
STU013,2025-05-18,CRS001,in_progress,,78,0,basic,paid
STU014,2025-05-20,CRS007,dropped,2025-06-15,28,0,basic,overdue
STU015,2025-05-22,CRS005,completed,2025-08-30,100,86,premium,paid
STU016,2025-05-25,CRS003,dropped,2025-06-20,41,0,basic,paid
STU017,2025-05-28,CRS008,completed,2025-09-05,100,94,premium,paid
STU018,2025-06-01,CRS002,in_progress,,56,0,basic,overdue
STU019,2025-06-03,CRS006,dropped,2025-06-25,19,0,basic,refunded
STU020,2025-06-05,CRS004,completed,2025-09-15,100,88,premium,paid
STU021,2025-06-08,CRS009,dropped,2025-07-01,22,0,basic,paid
STU022,2025-06-10,CRS001,completed,2025-09-20,100,90,basic,paid
STU023,2025-06-12,CRS007,in_progress,,45,0,basic,overdue
STU024,2025-06-15,CRS005,completed,2025-10-01,100,85,premium,paid
STU025,2025-06-18,CRS010,dropped,2025-07-10,31,0,basic,refunded
STU026,2025-06-20,CRS003,completed,2025-10-05,100,89,premium,paid
STU027,2025-06-22,CRS008,dropped,2025-07-20,26,0,basic,paid
STU028,2025-06-25,CRS002,completed,2025-10-15,100,82,basic,paid
STU029,2025-06-28,CRS011,in_progress,,63,0,premium,paid
STU030,2025-07-01,CRS006,dropped,2025-07-25,17,0,basic,overdue
STU031,2025-07-03,CRS004,completed,2025-11-10,100,93,premium,paid
STU032,2025-07-05,CRS009,dropped,2025-08-01,35,0,basic,refunded
STU033,2025-07-08,CRS001,completed,2025-11-15,100,87,basic,paid
STU034,2025-07-10,CRS012,in_progress,,72,0,premium,paid
STU035,2025-07-12,CRS007,dropped,2025-08-15,29,0,basic,paid
STU036,2025-07-15,CRS005,completed,2025-11-25,100,84,premium,paid
STU037,2025-07-18,CRS010,dropped,2025-08-20,33,0,basic,overdue
STU038,2025-07-20,CRS003,completed,2025-12-01,100,91,premium,paid
STU039,2025-07-22,CRS011,dropped,2025-08-25,24,0,basic,refunded
STU040,2025-07-25,CRS008,completed,2025-12-10,100,88,basic,paid
STU041,2025-07-28,CRS002,in_progress,,58,0,basic,overdue
STU042,2025-08-01,CRS012,dropped,2025-09-05,27,0,basic,paid
STU043,2025-08-03,CRS006,completed,2025-12-20,100,86,premium,paid
STU044,2025-08-05,CRS004,dropped,2025-09-10,38,0,basic,refunded
STU045,2025-08-08,CRS009,completed,2026-01-05,100,92,premium,paid
