project_id,project_name,project_type,start_date,planned_end_date,current_phase,phase_start_date,milestone_name,milestone_planned_date,milestone_actual_date,milestone_status,days_variance,project_budget,phase_budget_allocated,phase_budget_spent
PRJ001,Downtown Office Complex,Commercial,2024-09-01,2025-08-15,Design Development,2024-11-15,Schematic Design Complete,2024-11-01,2024-11-08,Completed,7,2400000,350000,382000
PRJ001,Downtown Office Complex,Commercial,2024-09-01,2025-08-15,Design Development,2024-11-15,Design Development 50%,2024-12-15,2024-12-22,Completed,7,2400000,350000,382000
PRJ001,Downtown Office Complex,Commercial,2024-09-01,2025-08-15,Design Development,2024-11-15,Design Development Complete,2025-01-30,,In Progress,0,2400000,350000,382000
PRJ002,Riverside Residential Tower,Residential,2024-07-15,2025-06-30,Construction Documents,2025-01-10,DD Complete,2024-12-20,2024-12-18,Completed,-2,3200000,480000,455000
PRJ002,Riverside Residential Tower,Residential,2024-07-15,2025-06-30,Construction Documents,2025-01-10,CD 25% Complete,2025-02-15,,Pending,0,3200000,480000,455000
PRJ003,City Library Renovation,Institutional,2024-10-01,2025-09-15,Schematic Design,2024-10-01,Programming Complete,2024-11-15,2024-11-20,Completed,5,1800000,180000,195000
PRJ003,City Library Renovation,Institutional,2024-10-01,2025-09-15,Schematic Design,2024-10-01,SD 75% Complete,2025-01-10,,In Progress,0,1800000,180000,195000
PRJ004,Tech Campus Phase 2,Commercial,2024-08-01,2026-02-28,Construction Documents,2024-12-15,DD Complete,2024-12-10,2024-12-05,Completed,-5,5600000,750000,720000
PRJ004,Tech Campus Phase 2,Commercial,2024-08-01,2026-02-28,Construction Documents,2024-12-15,CD 50% Complete,2025-02-28,,In Progress,0,5600000,750000,720000
PRJ005,Suburban Medical Center,Institutional,2024-06-01,2025-12-15,Construction Administration,2024-11-01,Construction Start,2024-11-01,2024-11-15,Completed,14,4200000,650000,698000
PRJ005,Suburban Medical Center,Institutional,2024-06-01,2025-12-15,Construction Administration,2024-11-01,50% Construction Complete,2025-03-15,,In Progress,0,4200000,650000,698000
PRJ006,Historic Hotel Restoration,Commercial,2024-05-15,2025-11-30,Construction Documents,2024-10-01,SD Complete,2024-09-30,2024-10-15,Completed,15,2800000,420000,467000
PRJ006,Historic Hotel Restoration,Commercial,2024-05-15,2025-11-30,Construction Documents,2024-10-01,CD 40% Complete,2025-01-15,,At Risk,0,2800000,420000,467000
PRJ007,Elementary School Addition,Institutional,2024-09-15,2025-08-01,Design Development,2024-12-01,SD Complete,2024-11-30,2024-12-10,Completed,10,1600000,240000,268000
PRJ007,Elementary School Addition,Institutional,2024-09-15,2025-08-01,Design Development,2024-12-01,DD 60% Complete,2025-02-01,,In Progress,0,1600000,240000,268000
PRJ008,Luxury Condominiums,Residential,2024-11-01,2026-01-15,Schematic Design,2024-11-01,Programming Complete,2024-12-01,2024-12-08,Completed,7,3800000,420000,445000
PRJ008,Luxury Condominiums,Residential,2024-11-01,2026-01-15,Schematic Design,2024-11-01,SD 30% Complete,2025-01-15,,In Progress,0,3800000,420000,445000
PRJ009,Corporate Headquarters,Commercial,2024-04-01,2025-10-30,Construction Administration,2024-09-01,Construction Start,2024-09-01,2024-09-20,Completed,19,6200000,850000,920000
PRJ009,Corporate Headquarters,Commercial,2024-04-01,2025-10-30,Construction Administration,2024-09-01,25% Construction Complete,2024-12-15,2025-01-05,Completed,21,6200000,850000,920000
PRJ010,Community Recreation Center,Institutional,2024-08-15,2025-12-01,Design Development,2024-11-15,SD Complete,2024-11-10,2024-11-25,Completed,15,2200000,330000,358000
PRJ010,Community Recreation Center,Institutional,2024-08-15,2025-12-01,Design Development,2024-11-15,DD 45% Complete,2025-01-30,,At Risk,0,2200000,330000,358000
