client_id,client_name,company_size,annual_revenue_millions,employees,relationship_length_years,industry_category,decision_complexity,payment_terms_days,geographic_location,previous_engagements,loyalty_score,contract_value_preference,procurement_process,executive_sponsor_level
CLI001,TechFlow Solutions,Large,450,2800,4.5,Technology,Medium,45,North America,3,8.2,High,Standard,C-Level
CLI002,MediCorp Healthcare,Medium,180,1200,3.8,Healthcare,High,60,North America,2,7.5,Medium,Complex,VP-Level
CLI003,RetailMax Inc,Large,850,5500,5.2,Retail,Medium,30,North America,2,8.8,High,Standard,C-Level
CLI004,GreenEnergy Partners,Medium,220,1500,3.2,Energy,High,75,Europe,2,6.9,Medium,Complex,VP-Level
CLI005,FinanceFirst Bank,Large,2200,12000,4.8,Financial Services,High,30,North America,2,9.1,High,Standard,C-Level
CLI006,ManufacturingPro Ltd,Medium,320,2100,2.1,Manufacturing,Medium,45,Asia Pacific,1,7.2,Medium,Standard,VP-Level
CLI007,ConsumerBrand Co,Large,680,3800,2.8,Consumer Goods,Medium,30,North America,1,7.8,High,Standard,C-Level
CLI008,LogisticsMaster,Medium,290,1800,4.1,Transportation,Medium,60,Europe,2,8.0,Medium,Standard,VP-Level
CLI009,TechStartup Alpha,Small,25,180,1.5,Technology,Low,30,North America,1,6.5,Low,Simple,Founder
CLI010,GlobalManufacturing,Large,1200,8500,1.8,Manufacturing,High,45,Asia Pacific,1,7.6,High,Complex,C-Level
CLI011,HealthSystem Plus,Large,950,6200,1.2,Healthcare,High,75,North America,1,7.1,High,Complex,C-Level
CLI012,RetailChain Express,Medium,420,2800,1.6,Retail,Medium,45,North America,1,7.3,Medium,Standard,VP-Level
CLI013,EnergyGrid Corp,Large,780,4500,3.5,Energy,High,60,North America,1,8.3,High,Complex,C-Level
CLI014,PharmaInnovate,Large,1800,9500,2.9,Healthcare,High,45,Europe,1,8.7,High,Complex,C-Level
CLI015,AutoMaker Global,Large,3200,18000,2.4,Manufacturing,High,30,Asia Pacific,1,8.1,High,Standard,C-Level
CLI016,FoodService Inc,Medium,380,2400,3.1,Consumer Goods,Medium,30,North America,1,7.9,Medium,Standard,VP-Level
CLI017,TechGiant Beta,Large,5800,32000,1.9,Technology,Medium,30,North America,1,9.2,High,Standard,C-Level
CLI018,UtilityPower Co,Large,920,5100,2.2,Energy,High,75,North America,1,7.4,High,Complex,C-Level
CLI019,InsuranceLeader,Large,1450,8800,2.7,Financial Services,High,45,Europe,1,8.4,High,Complex,C-Level
CLI020,TelecomConnect,Large,2100,11500,3.8,Telecommunications,Medium,60,Asia Pacific,1,8.6,High,Standard,C-Level
CLI021,ChemicalSolutions,Large,890,4900,3.3,Manufacturing,High,45,Europe,1,8.0,High,Complex,C-Level
CLI022,MediaGroup Pro,Medium,250,1600,3.0,Media,Medium,30,North America,1,7.7,Medium,Standard,VP-Level
CLI023,AerospaceTech,Large,1680,9200,2.8,Aerospace,High,60,North America,1,8.2,High,Complex,C-Level
CLI024,HospitalityChain,Medium,190,1100,2.5,Hospitality,Medium,45,Europe,1,7.0,Medium,Standard,VP-Level
CLI025,AgriTech Innovations,Small,85,520,2.1,Agriculture,Low,30,North America,1,6.8,Low,Simple,Founder
CLI026,RealEstate Ventures,Medium,145,890,1.9,Real Estate,Medium,60,North America,1,7.2,Medium,Standard,VP-Level
CLI027,SportsTech Corp,Medium,120,750,1.7,Sports,Low,30,North America,1,7.5,Medium,Simple,VP-Level
CLI028,EducationPlatform,Small,95,640,1.4,Education,Low,45,North America,1,7.1,Low,Simple,VP-Level
CLI029,WasteManagement Pro,Medium,210,1350,1.8,Environmental,Medium,60,Europe,1,7.3,Medium,Standard,VP-Level
CLI030,CyberSecurity Shield,Medium,180,980,1.2,Technology,Medium,30,North America,1,7.6,Medium,Standard,VP-Level
CLI031,BioPharma Research,Large,2400,13500,1.0,Healthcare,High,45,Europe,1,8.5,High,Complex,C-Level
CLI032,ConstructionMega,Large,920,5200,1.3,Construction,High,75,Asia Pacific,1,7.8,High,Complex,C-Level
CLI033,FashionBrand Elite,Medium,340,2100,1.1,Fashion,Medium,30,Europe,1,8.0,Medium,Standard,VP-Level
CLI034,MiningCorp International,Large,1560,8700,0.9,Mining,High,60,Asia Pacific,1,7.7,High,Complex,C-Level
CLI035,CloudServices Pro,Small,75,450,0.8,Technology,Low,30,North America,1,7.2,Low,Simple,VP-Level
CLI036,WealthManagement Plus,Medium,380,2200,0.7,Financial Services,Medium,45,Europe,1,7.9,Medium,Standard,VP-Level
CLI037,FoodTech Innovations,Small,95,580,0.6,Food Technology,Low,30,North America,1,7.4,Low,Simple,Founder
CLI038,TransportGlobal,Large,1100,6800,0.5,Transportation,Medium,60,Asia Pacific,1,7.6,High,Standard,C-Level
CLI039,SoftwareDev Corp,Medium,220,1400,0.4,Technology,Medium,45,North America,1,7.1,Medium,Standard,VP-Level
