tower_id,month_year,equipment_maintenance_cost,power_cost,facility_lease_cost,staff_cost,upgrade_cost,total_monthly_cost
T001,2024-10,15250,3200,8500,12000,0,38950
T001,2024-11,12800,3350,8500,12000,0,36650
T002,2024-10,28400,4150,9200,15000,25000,81750
T002,2024-11,31200,4380,9200,15000,0,59780
T003,2024-10,8900,2850,7800,10500,0,30050
T003,2024-11,7600,2920,7800,10500,0,28820
T004,2024-10,42300,5200,11000,18000,0,76500
T004,2024-11,45800,5450,11000,18000,15000,95250
T005,2024-10,18200,3100,8200,12500,0,41800
T005,2024-11,16900,3180,8200,12500,0,40780
T006,2024-10,22100,3850,8900,13500,0,48350
T006,2024-11,24300,3920,8900,13500,0,50620
T007,2024-10,9800,2950,7600,11000,0,31350
T007,2024-11,8500,3010,7600,11000,0,30110
T008,2024-10,38700,4950,10500,17000,0,71150
T008,2024-11,41200,5120,10500,17000,12000,85820
T009,2024-10,16800,3250,8300,12200,0,40550
T009,2024-11,15400,3300,8300,12200,0,39200
T010,2024-10,52100,6200,12500,20000,0,90800
T010,2024-11,56800,6450,12500,20000,35000,130750
T011,2024-10,17900,3180,8400,12300,0,41780
T011,2024-11,16200,3240,8400,12300,0,40140
T012,2024-10,26500,4020,9100,14000,0,53620
T012,2024-11,29100,4150,9100,14000,8000,64350
