employee_id,department,role_level,meeting_id,effectiveness_rating,time_waste_rating,decision_clarity_rating,preparation_rating,relevance_rating,overall_satisfaction,would_skip_rating,comments
EMP001,Engineering,Senior,MTG001,2,4,2,3,3,2,4,"Too many status updates that could be emails"
EMP002,Engineering,Mid,MTG001,3,3,3,2,4,3,3,"Sometimes valuable but often repetitive"
EMP003,Engineering,Junior,MTG001,4,2,3,4,4,4,2,"Good for staying aligned with team"
EMP004,Marketing,Senior,MTG002,5,1,5,4,5,5,1,"Very productive planning session"
EMP005,Marketing,Mid,MTG002,4,2,4,3,4,4,2,"Good outcomes most of the time"
EMP006,Sales,Senior,MTG003,5,1,4,5,5,5,1,"Essential one-on-one time"
EMP007,HR,Senior,MTG004,3,3,4,3,3,3,3,"Could be more focused"
EMP008,HR,Mid,MTG004,2,4,2,2,2,2,4,"Often feels like a waste of time"
EMP009,Executive,C-Level,MTG005,4,2,5,4,4,4,1,"Important for strategy alignment"
EMP010,Engineering,Director,MTG005,3,3,3,3,4,3,2,"Too long but necessary"
EMP011,Engineering,Senior,MTG006,2,4,2,3,3,2,4,"Same issues as Monday standup"
EMP012,Sales,Mid,MTG007,5,1,5,4,5,5,1,"Critical client meeting"
EMP013,Marketing,Mid,MTG008,3,3,3,2,3,3,3,"Quick but not always necessary"
EMP014,HR,Director,MTG009,4,2,3,5,4,4,2,"Good training content"
EMP015,Engineering,Senior,MTG010,4,2,4,4,4,4,2,"Valuable project alignment"
EMP016,Engineering,Mid,MTG010,3,3,3,3,4,3,3,"Sometimes goes too long"
EMP017,Finance,Director,MTG012,5,1,5,5,5,5,1,"Essential budget planning"
EMP018,Engineering,Junior,MTG013,4,2,4,3,4,4,2,"Good daily sync"
EMP019,Executive,VP,MTG014,2,4,2,2,1,2,3,"Too many people, not focused"
EMP020,HR,Senior,MTG015,5,1,5,5,5,5,1,"Important performance discussion"
EMP021,Sales,Senior,MTG016,3,3,4,2,3,3,3,"Demo went okay but long setup"
EMP022,Marketing,Senior,MTG017,4,2,4,4,4,4,2,"Good quick check-in"
EMP023,Operations,Director,MTG018,4,2,4,4,4,4,2,"Productive vendor discussion"
EMP024,Engineering,Senior,MTG019,5,1,5,4,5,5,1,"Very valuable code review"
EMP025,Marketing,Director,MTG020,4,2,4,4,4,4,2,"Good campaign planning"
EMP026,Engineering,Senior,MTG021,2,4,2,3,3,2,4,"Another repetitive status update"
EMP027,Sales,Director,MTG022,4,2,5,4,4,4,1,"Good sales pipeline review"
EMP028,IT,Director,MTG023,5,1,5,5,5,5,1,"Critical security planning"
EMP029,Customer Success,Director,MTG024,3,3,3,3,4,3,3,"Useful but could be shorter"
EMP030,Executive,CEO,MTG025,5,1,5,5,5,5,1,"Essential board preparation"
