Month,Year,Revenue,COGS,Gross_Profit,Sales_Marketing,Research_Development,General_Admin,Operating_Expenses,EBITDA,Depreciation,EBIT,Interest_Expense,Net_Income
January,2025,850000,255000,595000,340000,170000,85000,595000,0,12000,-12000,5000,-17000
February,2025,920000,276000,644000,368000,184000,92000,644000,0,12000,-12000,5000,-17000
March,2025,1050000,315000,735000,420000,210000,105000,735000,0,12000,-12000,5000,-17000
April,2025,1180000,354000,826000,472000,236000,118000,826000,0,12000,-12000,5000,-17000
May,2025,1290000,387000,903000,516000,258000,129000,903000,0,12000,-12000,5000,-17000
June,2025,1420000,426000,994000,568000,284000,142000,994000,0,12000,-12000,5000,-17000
July,2025,1580000,474000,1106000,632000,316000,158000,1106000,0,12000,-12000,5000,-17000
August,2025,1720000,516000,1204000,688000,344000,172000,1204000,0,12000,-12000,5000,-17000
September,2025,1890000,567000,1323000,756000,378000,189000,1323000,0,12000,-12000,5000,-17000
October,2025,2050000,615000,1435000,820000,410000,205000,1435000,0,12000,-12000,5000,-17000
November,2025,2180000,654000,1526000,872000,436000,218000,1526000,0,12000,-12000,5000,-17000
December,2025,2350000,705000,1645000,940000,470000,235000,1645000,0,12000,-12000,5000,-17000
