property_id,market_avg_occupancy,competition_density,walkability_score,transit_score,parking_ratio,nearby_amenities,market_rent_psf,population_density,employment_growth_rate,office_supply_growth
P001,0.82,0.85,88,75,1.93,42,41.20,12500,0.024,0.032
P002,0.82,0.78,92,85,1.84,48,41.20,13200,0.024,0.032
P003,0.82,0.65,76,65,1.79,28,41.20,9800,0.024,0.032
P004,0.82,0.72,85,78,1.79,38,41.20,11400,0.024,0.032
P005,0.82,0.88,94,88,1.80,52,41.20,14100,0.024,0.032
P006,0.79,0.68,74,62,1.87,32,37.90,8900,0.031,0.028
P007,0.79,0.82,86,72,1.92,45,37.90,10200,0.031,0.028
P008,0.79,0.71,79,68,1.79,36,37.90,9500,0.031,0.028
P009,0.79,0.76,83,75,1.85,41,37.90,11800,0.031,0.028
P010,0.79,0.58,68,55,1.84,24,37.90,7600,0.031,0.028
P011,0.84,0.89,91,82,1.92,46,50.40,15200,0.041,0.045
P012,0.84,0.92,96,89,1.93,54,50.40,16800,0.041,0.045
P013,0.84,0.64,72,58,1.79,29,50.40,8400,0.041,0.045
P014,0.84,0.95,98,92,1.85,58,50.40,18900,0.041,0.045
P015,0.84,0.52,65,48,1.92,22,50.40,6200,0.041,0.045
P016,0.86,0.91,94,88,1.92,49,59.70,17600,0.019,0.022
P017,0.86,0.94,97,91,1.87,56,59.70,19200,0.019,0.022
P018,0.86,0.73,81,74,1.80,38,59.70,11400,0.019,0.022
P019,0.86,0.96,99,94,1.92,61,59.70,21500,0.019,0.022
P020,0.86,0.82,89,82,1.88,44,59.70,14800,0.019,0.022
P021,0.88,0.98,99,98,1.92,65,82.30,28900,0.016,0.018
P022,0.88,0.96,98,95,1.91,62,82.30,26400,0.016,0.018
P023,0.88,0.94,96,92,1.92,58,82.30,24100,0.016,0.018
P024,0.88,0.99,100,99,1.93,68,82.30,31200,0.016,0.018
P025,0.88,0.67,78,68,1.92,34,82.30,9800,0.016,0.018
P026,0.81,0.87,89,78,1.92,47,51.60,16200,0.029,0.038
P027,0.81,0.84,92,85,1.92,51,51.60,18400,0.029,0.038
P028,0.81,0.69,75,65,1.91,35,51.60,10600,0.029,0.038
P029,0.81,0.89,95,88,1.94,54,51.60,19800,0.029,0.038
P030,0.81,0.74,82,72,1.96,41,51.60,12400,0.029,0.038
P031,0.82,0.83,87,76,1.91,43,41.20,12800,0.024,0.032
P032,0.82,0.71,74,62,1.94,31,41.20,8600,0.024,0.032
P033,0.82,0.75,81,71,1.94,37,41.20,10200,0.024,0.032
P034,0.82,0.58,69,54,2.00,26,41.20,6800,0.024,0.032
P035,0.82,0.79,84,74,1.95,40,41.20,11600,0.024,0.032
P036,0.79,0.64,71,59,1.93,30,37.90,7800,0.031,0.028
P037,0.79,0.72,78,68,1.96,35,37.90,9200,0.031,0.028
P038,0.79,0.55,66,52,1.92,23,37.90,6400,0.031,0.028
P039,0.79,0.81,85,73,1.94,44,37.90,10800,0.031,0.028
P040,0.79,0.74,80,69,1.91,38,37.90,9600,0.031,0.028
P041,0.84,0.68,73,60,1.94,32,50.40,8800,0.041,0.045
P042,0.84,0.71,77,68,1.94,36,50.40,9400,0.041,0.045
P043,0.84,0.78,84,75,1.95,42,50.40,11200,0.041,0.045
P044,0.84,0.88,93,86,1.92,52,50.40,16800,0.041,0.045
P045,0.84,0.65,75,63,1.91,33,50.40,8200,0.041,0.045
